ENA.Accession.Number,Isolate,Lane.accession,CTZ,CTX,AMP,AMX,AMC,TZP,CXM,CET,GEN,TBM,TMP,CIP
ERS356929,11657_5#10,ERR434268,S,S,S,,S,S,S,I,S,S,S,S
ERS356935,11657_5#11,ERR434269,S,S,R,,R,S,S,I,S,S,R,R
ERS356938,11657_5#12,ERR434270,S,S,S,,S,S,S,S,S,S,S,S
ERS356941,11657_5#13,ERR434271,S,S,R,,R,S,S,I,S,S,S,R
ERS356967,11657_5#14,ERR434272,S,S,R,,S,S,S,S,S,S,R,S
ERS356984,11657_5#15,ERR434273,S,S,S,,S,S,S,S,S,S,S,S
ERS356995,11657_5#16,ERR434274,S,S,R,,R,I,R,I,R,R,R,R
ERS357016,11657_5#17,ERR434275,S,S,S,,S,S,S,S,S,S,S,S
ERS357017,11657_5#18,ERR434276,S,S,S,,S,S,S,I,S,S,S,S
ERS357022,11657_5#19,ERR434277,S,S,S,,S,S,S,S,S,S,S,S
ERS356741,11657_5#1,ERR434259,S,S,R,,R,S,S,I,S,S,R,R
ERS357031,11657_5#20,ERR434278,S,S,R,,S,S,S,I,S,S,S,S
ERS357080,11657_5#21,ERR434279,S,S,S,,S,S,S,I,S,S,S,S
ERS357117,11657_5#22,ERR434280,S,S,S,,S,S,R,I,S,S,S,R
ERS357118,11657_5#23,ERR434281,S,S,S,,S,S,S,S,S,S,S,S
ERS357141,11657_5#24,ERR434282,R,R,R,,R,S,R,R,R,R,R,R
ERS357184,11657_5#25,ERR434283,S,,,R,S,S,S,,S,,,S
ERS357187,11657_5#26,ERR434284,S,,,S,S,S,R,,S,,,S
ERS357200,11657_5#27,ERR434285,S,,,R,S,S,S,,S,,,S
ERS357205,11657_5#28,ERR434286,S,S,R,,S,S,S,I,S,S,S,S
ERS357221,11657_5#29,ERR434287,S,,,R,S,S,S,,R,,,S
ERS356749,11657_5#2,ERR434260,S,S,R,,S,S,S,S,S,S,R,S
ERS357222,11657_5#30,ERR434288,S,,,R,R,S,S,,S,,,S
ERS357244,11657_5#31,ERR434289,S,S,,R,S,I,R,,S,,,S
ERS357247,11657_5#32,ERR434290,S,S,,R,S,S,S,,R,,,R
ERS357250,11657_5#33,ERR434291,S,S,,S,S,S,S,,S,,,S
ERS357256,11657_5#34,ERR434292,S,S,,R,R,S,S,,S,,,R
ERS357258,11657_5#35,ERR434293,S,S,,R,S,S,S,,S,,,S
ERS357276,11657_5#36,ERR434294,S,S,,S,S,S,S,,S,,,S
ERS357277,11657_5#37,ERR434295,S,S,,S,S,S,S,,S,,,S
ERS357285,11657_5#38,ERR434296,S,S,,R,S,S,S,,S,,,S
ERS357377,11657_5#39,ERR434297,S,S,,S,S,S,S,,S,,,S
ERS356755,11657_5#3,ERR434261,S,S,R,,R,S,R,I,S,S,R,S
ERS357380,11657_5#40,ERR434298,R,R,,R,R,R,R,,R,,,R
ERS357381,11657_5#41,ERR434299,S,S,,S,S,S,R,,S,,,S
ERS357387,11657_5#42,ERR434300,S,S,,R,R,R,S,,S,,,S
ERS357400,11657_5#43,ERR434301,S,S,,R,S,S,S,,S,,,S
ERS357424,11657_5#44,ERR434302,S,S,,R,R,S,S,,S,,,S
ERS357519,11657_5#46,ERR434304,R,R,,R,R,S,R,,S,,,R
ERS357550,11657_5#47,ERR434305,S,S,,S,S,S,S,,S,,,S
ERS357568,11657_5#48,ERR434306,S,S,,S,S,S,S,,S,,,S
ERS357591,11657_5#49,ERR434307,S,S,,S,S,S,S,,S,,,S
ERS356771,11657_5#4,ERR434262,S,S,S,,S,,S,S,S,S,S,S
ERS357611,11657_5#50,ERR434308,S,S,,S,S,S,S,,S,,,S
ERS357624,11657_5#51,ERR434309,S,S,,S,S,S,S,,S,,,S
ERS357627,11657_5#52,ERR434310,R,R,,R,R,S,R,,R,,,R
ERS357642,11657_5#53,ERR434311,S,S,,S,S,S,S,,S,,,S
ERS357660,11657_5#54,ERR434312,S,S,,S,S,S,S,,S,,,S
ERS357675,11657_5#55,ERR434313,S,S,,R,R,S,S,,S,,,S
ERS357681,11657_5#56,ERR434314,S,S,,R,S,S,S,,S,,,S
ERS357685,11657_5#57,ERR434315,S,S,,R,S,S,S,,S,,,R
ERS357724,11657_5#58,ERR434316,S,S,,S,S,S,S,,S,,,S
ERS357725,11657_5#59,ERR434317,S,S,,R,R,S,S,,S,,,S
ERS356788,11657_5#5,ERR434263,S,S,R,,S,S,S,I,R,R,R,S
ERS357727,11657_5#60,ERR434318,S,S,,R,R,S,S,,S,,,R
ERS357739,11657_5#61,ERR434319,R,R,,R,S,S,R,,R,,,R
ERS357762,11657_5#62,ERR434320,S,S,,S,S,S,S,,S,,,S
ERS357768,11657_5#63,ERR434321,S,S,,S,S,S,S,,S,,,S
ERS357775,11657_5#64,ERR434322,S,S,,R,R,R,S,,R,,,S
ERS357778,11657_5#65,ERR434323,S,S,,R,R,R,S,,I,,,R
ERS357779,11657_5#66,ERR434324,S,S,,R,R,I,R,,S,,,R
ERS357780,11657_5#67,ERR434325,S,S,,R,S,S,S,,S,,,S
ERS357785,11657_5#68,ERR434326,S,S,,R,R,S,S,,S,,,S
ERS357796,11657_5#69,ERR434327,S,S,,R,R,S,S,,S,,,R
ERS356873,11657_5#6,ERR434264,I,S,R,,R,,R,R,S,R,R,R
ERS357797,11657_5#70,ERR434328,S,S,,S,S,S,S,,S,,,S
ERS357848,11657_5#71,ERR434329,S,S,,R,R,S,S,,S,,,S
ERS357871,11657_5#72,ERR434330,S,S,,R,R,I,S,,S,,,S
ERS357888,11657_5#73,ERR434331,S,S,,R,S,S,S,,S,,,S
ERS357903,11657_5#74,ERR434332,S,S,,S,S,S,S,,S,,,S
ERS357916,11657_5#75,ERR434333,S,S,,S,S,S,S,,S,,,S
ERS357941,11657_5#76,ERR434334,S,S,,R,R,R,R,,S,,,S
ERS357960,11657_5#77,ERR434335,S,S,,S,S,S,S,,S,,,S
ERS357989,11657_5#78,ERR434336,S,S,,R,R,S,R,,S,,,S
ERS357993,11657_5#79,ERR434337,S,S,,R,R,S,S,,S,,,S
ERS356879,11657_5#7,ERR434265,S,S,R,,S,S,S,S,S,S,S,R
ERS358005,11657_5#80,ERR434338,S,S,,R,R,S,R,,R,,,R
ERS358011,11657_5#81,ERR434339,S,S,,S,S,S,S,,S,,,S
ERS358033,11657_5#83,ERR434341,S,S,,S,S,S,S,,S,,,S
ERS358036,11657_5#84,ERR434342,S,S,,S,S,S,S,,S,,,S
ERS358055,11657_5#85,ERR434343,S,S,,R,S,S,S,,S,,,S
ERS358064,11657_5#86,ERR434344,S,S,,S,S,S,S,,S,,,S
ERS358068,11657_5#87,ERR434345,S,S,,S,S,S,S,,S,,,S
ERS358071,11657_5#88,ERR434346,S,S,,R,S,S,S,,S,,,S
ERS358073,11657_5#89,ERR434347,R,R,,R,R,S,R,,S,,,R
ERS356896,11657_5#8,ERR434266,S,S,R,,R,S,R,I,R,R,S,R
ERS358074,11657_5#90,ERR434348,S,S,,S,S,S,S,,S,,,S
ERS358081,11657_5#91,ERR434349,S,S,,S,S,S,S,,S,,,S
ERS358096,11657_5#92,ERR434350,S,S,,R,R,S,S,,S,,,S
ERS358116,11657_5#93,ERR434351,S,S,,S,S,S,S,,S,,,S
ERS358166,11657_5#94,ERR434352,S,S,,S,S,S,S,,S,,,S
ERS358172,11657_5#95,ERR434353,S,S,,R,R,R,S,,S,,,S
ERS358242,11657_5#96,ERR434354,S,S,,S,S,S,S,,S,,,S
ERS356906,11657_5#9,ERR434267,S,S,S,,S,S,S,S,S,S,S,S
ERS356942,11657_6#10,ERR434364,S,S,S,,S,S,S,S,S,S,S,S
ERS356950,11657_6#11,ERR434365,S,S,R,,R,S,R,R,R,R,R,S
ERS356956,11657_6#12,ERR434366,S,S,R,,S,S,S,S,S,S,R,S
ERS356959,11657_6#13,ERR434367,S,S,R,,S,S,S,S,S,S,S,S
ERS356965,11657_6#14,ERR434368,S,S,R,,R,R,S,I,R,I,R,R
ERS356969,11657_6#15,ERR434369,S,S,R,,S,S,S,I,S,S,S,S
ERS356972,11657_6#16,ERR434370,S,S,R,,R,I,S,I,S,S,S,R
ERS356991,11657_6#17,ERR434371,S,S,S,,S,S,S,S,S,S,S,S
ERS356999,11657_6#18,ERR434372,S,S,R,,S,S,S,I,S,S,S,S
ERS357004,11657_6#19,ERR434373,S,S,R,,R,S,S,I,S,S,S,S
ERS356772,11657_6#1,ERR434355,S,S,R,,S,S,S,I,S,S,R,R
ERS357018,11657_6#20,ERR434374,R,R,R,,R,S,R,R,R,R,R,R
ERS357023,11657_6#21,ERR434375,S,S,S,,S,S,S,S,S,S,S,S
ERS357128,11657_6#22,ERR434376,S,S,S,,S,S,S,S,S,S,S,S
ERS357135,11657_6#23,ERR434377,S,S,R,,S,S,S,I,S,S,R,S
ERS357136,11657_6#24,ERR434378,S,S,R,,R,S,S,S,S,S,S,S
ERS357165,11657_6#26,ERR434380,S,,,R,S,S,S,,S,,,S
ERS357169,11657_6#27,ERR434381,S,,,R,R,I,S,,S,,,S
ERS357175,11657_6#28,ERR434382,S,,,S,S,S,S,,S,,,S
ERS357177,11657_6#29,ERR434383,S,,,S,S,S,S,,S,,,S
ERS356806,11657_6#2,ERR434356,S,S,S,,S,S,S,S,S,S,S,S
ERS357185,11657_6#30,ERR434384,S,,,R,S,S,S,,S,,,S
ERS357252,11657_6#31,ERR434385,S,S,,S,S,S,S,,R,,,R
ERS357268,11657_6#32,ERR434386,S,S,,S,R,R,S,,S,,,S
ERS357295,11657_6#33,ERR434387,S,S,,R,S,S,S,,I,,,S
ERS357298,11657_6#34,ERR434388,S,S,,R,R,S,S,,S,,,S
ERS357301,11657_6#35,ERR434389,S,S,,R,S,S,S,,S,,,S
ERS357330,11657_6#36,ERR434390,S,S,,S,S,S,S,,S,,,S
ERS357361,11657_6#37,ERR434391,S,S,,R,S,S,R,,S,,,R
ERS357370,11657_6#38,ERR434392,S,S,,S,S,S,S,,S,,,S
ERS357375,11657_6#39,ERR434393,S,S,,S,S,S,S,,S,,,S
ERS356836,11657_6#3,ERR434357,S,S,S,,S,S,S,I,I,I,S,S
ERS357385,11657_6#40,ERR434394,S,S,,R,S,S,S,,S,,,S
ERS357416,11657_6#41,ERR434395,S,S,,R,R,S,S,,S,,,S
ERS357447,11657_6#42,ERR434396,S,S,,R,S,S,S,,S,,,S
ERS357460,11657_6#43,ERR434397,S,S,,S,S,S,S,,S,,,S
ERS357525,11657_6#44,ERR434398,S,S,,R,S,S,S,,S,,,S
ERS357557,11657_6#45,ERR434399,S,S,,R,R,R,S,,S,,,S
ERS357606,11657_6#46,ERR434400,S,S,,S,S,S,S,,S,,,S
ERS357609,11657_6#47,ERR434401,S,S,,S,S,S,S,,S,,,S
ERS357653,11657_6#48,ERR434402,S,S,,R,S,S,S,,S,,,S
ERS357665,11657_6#49,ERR434403,S,S,,S,S,S,S,,S,,,S
ERS356845,11657_6#4,ERR434358,S,S,R,,S,S,S,S,S,S,R,R
ERS357674,11657_6#50,ERR434404,S,S,,R,S,S,S,,S,,,S
ERS357679,11657_6#51,ERR434405,R,R,,R,S,S,R,,S,,,R
ERS357683,11657_6#52,ERR434406,S,S,,R,R,R,S,,S,,,S
ERS357700,11657_6#53,ERR434407,S,S,,S,S,S,S,,S,,,S
ERS357706,11657_6#54,ERR434408,S,S,,R,S,S,S,,S,,,S
ERS357707,11657_6#55,ERR434409,S,S,,S,S,S,S,,S,,,S
ERS357731,11657_6#56,ERR434410,S,S,,S,S,S,S,,S,,,S
ERS357748,11657_6#57,ERR434411,S,S,,R,S,S,R,,I,,,S
ERS357757,11657_6#58,ERR434412,S,S,,R,S,S,S,,S,,,S
ERS357763,11657_6#59,ERR434413,S,S,,S,S,S,S,,S,,,S
ERS356871,11657_6#5,ERR434359,S,S,S,,S,S,S,S,S,S,S,S
ERS357781,11657_6#60,ERR434414,S,S,,R,S,S,S,,S,,,S
ERS357791,11657_6#61,ERR434415,S,S,,S,S,S,S,,S,,,S
ERS357794,11657_6#62,ERR434416,S,S,,R,S,S,S,,S,,,S
ERS357805,11657_6#63,ERR434417,I,R,,R,R,R,R,,S,,,R
ERS357807,11657_6#64,ERR434418,I,R,,R,R,I,R,,S,,,R
ERS357822,11657_6#65,ERR434419,S,S,,R,R,R,S,,R,,,R
ERS357839,11657_6#66,ERR434420,S,S,,S,S,S,S,,S,,,S
ERS357849,11657_6#67,ERR434421,I,R,,R,R,I,R,,S,,,R
ERS357855,11657_6#68,ERR434422,S,S,,S,S,S,S,,S,,,S
ERS357890,11657_6#69,ERR434423,S,S,,R,S,S,S,,S,,,S
ERS356874,11657_6#6,ERR434360,S,S,R,,S,S,S,S,S,S,S,S
ERS357929,11657_6#70,ERR434424,S,S,,R,S,S,S,,S,,,S
ERS357951,11657_6#71,ERR434425,S,S,,R,S,S,S,,S,,,S
ERS357963,11657_6#72,ERR434426,S,S,,R,R,S,S,,S,,,S
ERS357974,11657_6#73,ERR434427,S,S,,S,S,S,S,,S,,,S
ERS357980,11657_6#74,ERR434428,S,S,,S,S,S,S,,S,,,S
ERS357987,11657_6#75,ERR434429,S,S,,S,S,S,S,,S,,,S
ERS358000,11657_6#76,ERR434430,S,S,,S,S,S,S,,S,,,S
ERS358002,11657_6#77,ERR434431,S,S,,S,S,S,S,,S,,,S
ERS358025,11657_6#78,ERR434432,S,S,,R,R,S,R,,S,,,S
ERS358026,11657_6#79,ERR434433,S,S,,S,S,S,S,,S,,,S
ERS356931,11657_6#7,ERR434361,S,S,S,,S,S,S,I,S,S,S,S
ERS358039,11657_6#80,ERR434434,S,S,,S,S,S,S,,S,,,S
ERS358057,11657_6#81,ERR434435,S,S,,S,S,S,S,,S,,,S
ERS358061,11657_6#82,ERR434436,S,S,,R,S,S,S,,S,,,S
ERS358065,11657_6#83,ERR434437,S,S,,S,S,S,R,,S,,,S
ERS358069,11657_6#84,ERR434438,S,S,,S,S,S,S,,S,,,S
ERS358103,11657_6#85,ERR434439,S,S,,R,S,S,S,,S,,,S
ERS358109,11657_6#86,ERR434440,S,S,,R,S,S,S,,S,,,S
ERS358123,11657_6#87,ERR434441,S,S,,R,S,S,S,,S,,,S
ERS358132,11657_6#88,ERR434442,S,S,,R,R,S,S,,S,,,S
ERS358142,11657_6#89,ERR434443,S,S,,R,S,S,S,,S,,,R
ERS356936,11657_6#8,ERR434362,S,S,S,,S,S,S,S,S,S,S,S
ERS358154,11657_6#90,ERR434444,S,S,,S,S,S,S,,S,,,S
ERS358167,11657_6#91,ERR434445,I,R,,R,R,I,R,,S,,,R
ERS358207,11657_6#92,ERR434446,S,S,,R,S,S,S,,S,,,S
ERS358210,11657_6#93,ERR434447,S,S,,S,S,S,S,,S,,,S
ERS358220,11657_6#94,ERR434448,I,R,,R,R,S,R,,S,,,R
ERS358237,11657_6#95,ERR434449,S,S,,S,S,S,S,,S,,,S
ERS358253,11657_6#96,ERR434450,S,S,,R,S,S,R,,R,,,S
ERS356940,11657_6#9,ERR434363,S,S,S,,S,S,S,I,S,S,S,S
ERS356968,11657_7#10,ERR434460,S,S,R,,S,S,S,I,S,S,S,S
ERS356970,11657_7#11,ERR434461,S,S,R,,S,S,S,S,S,S,S,S
ERS356971,11657_7#12,ERR434462,I,R,R,,R,S,R,R,R,R,R,R
ERS356975,11657_7#13,ERR434463,S,S,S,,S,S,S,S,S,S,S,S
ERS356980,11657_7#14,ERR434464,S,S,S,,S,S,S,I,S,S,S,S
ERS356981,11657_7#15,ERR434465,S,S,S,,S,S,S,S,S,S,S,S
ERS356987,11657_7#16,ERR434466,S,S,R,,S,S,S,S,S,S,S,S
ERS357002,11657_7#17,ERR434467,S,S,R,,S,S,S,I,S,S,S,S
ERS357015,11657_7#18,ERR434468,S,S,S,,S,S,S,I,S,S,S,S
ERS357019,11657_7#19,ERR434469,S,S,R,,S,S,S,S,S,S,S,S
ERS356924,11657_7#1,ERR434451,S,S,S,,S,S,S,I,S,S,S,S
ERS357120,11657_7#20,ERR434470,S,S,R,,S,S,R,I,S,S,S,S
ERS357126,11657_7#21,ERR434471,S,S,R,,R,R,S,I,S,R,R,R
ERS357129,11657_7#22,ERR434472,I,R,R,,S,S,R,R,S,S,R,R
ERS357133,11657_7#23,ERR434473,I,R,R,,R,S,R,R,S,R,R,R
ERS357144,11657_7#24,ERR434474,S,S,S,,S,S,S,I,S,S,S,S
ERS357161,11657_7#25,ERR434475,S,,,R,R,S,S,,S,,,S
ERS357162,11657_7#26,ERR434476,S,,,S,S,S,S,,S,,,S
ERS357176,11657_7#27,ERR434477,S,,,R,R,I,R,,S,,,R
ERS357188,11657_7#28,ERR434478,S,,,S,S,S,S,,S,,,S
ERS357199,11657_7#29,ERR434479,S,,,R,R,S,R,,S,,,S
ERS356946,11657_7#2,ERR434452,S,S,R,,R,R,S,I,S,S,S,S
ERS357201,11657_7#30,ERR434480,S,S,R,,S,S,S,S,S,S,S,S
ERS357215,11657_7#31,ERR434481,S,,,S,S,S,S,,S,,,S
ERS357223,11657_7#32,ERR434482,S,,,R,S,S,S,,S,,,S
ERS357273,11657_7#33,ERR434483,S,S,,R,S,S,S,,S,,,S
ERS357279,11657_7#34,ERR434484,S,S,,S,S,S,S,,S,,,S
ERS357347,11657_7#35,ERR434485,S,S,,S,S,S,S,,S,,,S
ERS357355,11657_7#36,ERR434486,S,S,,S,S,S,S,,S,,,S
ERS357384,11657_7#37,ERR434487,S,S,,R,S,S,S,,S,,,S
ERS357389,11657_7#38,ERR434488,S,S,,S,S,S,S,,S,,,S
ERS357425,11657_7#39,ERR434489,S,S,,R,S,I,S,,S,,,S
ERS356948,11657_7#3,ERR434453,S,S,S,,S,S,S,I,S,S,S,S
ERS357432,11657_7#40,ERR434490,S,S,,S,S,I,S,,S,,,S
ERS357478,11657_7#41,ERR434491,S,,,R,R,S,S,,R,,,R
ERS357512,11657_7#42,ERR434492,S,S,,S,S,S,S,,S,,,S
ERS357513,11657_7#43,ERR434493,S,S,,R,S,S,S,,S,,,S
ERS357526,11657_7#44,ERR434494,S,S,,S,S,S,S,,S,,,S
ERS357573,11657_7#45,ERR434495,S,S,,R,R,S,S,,S,,,R
ERS357598,11657_7#46,ERR434496,S,S,,R,S,S,S,,S,,,S
ERS357623,11657_7#47,ERR434497,S,S,,R,R,S,S,,S,,,R
ERS357632,11657_7#48,ERR434498,S,S,,R,S,S,S,,S,,,S
ERS357633,11657_7#49,ERR434499,S,S,,R,S,S,S,,S,,,S
ERS356953,11657_7#4,ERR434454,S,S,R,,S,S,S,S,S,S,S,S
ERS357640,11657_7#50,ERR434500,S,S,,S,S,S,S,,S,,,S
ERS357656,11657_7#51,ERR434501,S,S,,R,S,S,S,,S,,,S
ERS357689,11657_7#52,ERR434502,S,S,,R,S,S,S,,S,,,R
ERS357702,11657_7#53,ERR434503,S,S,,R,R,S,S,,S,,,R
ERS357708,11657_7#54,ERR434504,I,R,,R,R,S,R,,S,,,R
ERS357714,11657_7#55,ERR434505,S,S,,R,S,S,S,,R,,,R
ERS357718,11657_7#56,ERR434506,S,R,,R,S,S,R,,S,,,R
ERS357737,11657_7#57,ERR434507,S,S,,R,S,S,S,,R,,,R
ERS357742,11657_7#58,ERR434508,R,R,,R,R,I,R,,R,,,R
ERS357749,11657_7#59,ERR434509,S,S,,R,R,S,S,,I,,,S
ERS356954,11657_7#5,ERR434455,S,S,R,,R,S,S,I,S,S,R,S
ERS357755,11657_7#60,ERR434510,S,S,,S,S,S,S,,S,,,S
ERS357786,11657_7#61,ERR434511,S,S,,S,S,S,S,,S,,,S
ERS357788,11657_7#62,ERR434512,S,S,,S,S,S,S,,S,,,S
ERS357809,11657_7#63,ERR434513,S,S,,R,S,S,S,,S,,,S
ERS357811,11657_7#64,ERR434514,S,S,,R,R,S,S,,S,,,S
ERS357812,11657_7#65,ERR434515,S,S,,S,S,S,S,,S,,,S
ERS357845,11657_7#66,ERR434516,R,R,,R,R,R,R,,S,,,R
ERS357846,11657_7#67,ERR434517,S,S,,S,S,S,S,,S,,,S
ERS357850,11657_7#68,ERR434518,S,S,,R,S,S,S,,S,,,S
ERS357857,11657_7#69,ERR434519,S,S,,R,R,R,S,,S,,,S
ERS356957,11657_7#6,ERR434456,S,S,S,,S,S,S,S,S,S,S,S
ERS357877,11657_7#70,ERR434520,S,S,,R,R,R,S,,S,,,R
ERS357879,11657_7#71,ERR434521,S,S,,S,S,S,S,,S,,,S
ERS357885,11657_7#72,ERR434522,S,S,,R,R,S,R,,S,,,S
ERS357897,11657_7#73,ERR434523,S,S,,R,S,S,S,,S,,,R
ERS357907,11657_7#74,ERR434524,S,S,,S,S,S,S,,S,,,S
ERS357908,11657_7#75,ERR434525,S,S,,S,S,S,S,,S,,,S
ERS357909,11657_7#76,ERR434526,S,S,,R,S,S,S,,S,,,S
ERS357911,11657_7#77,ERR434527,S,S,,R,R,I,S,,R,,,S
ERS357917,11657_7#78,ERR434528,S,S,,S,S,S,R,,S,,,R
ERS357925,11657_7#79,ERR434529,S,S,,S,S,S,S,,S,,,S
ERS356961,11657_7#7,ERR434457,S,S,R,,S,S,S,I,S,S,R,S
ERS357932,11657_7#80,ERR434530,S,S,,R,S,S,S,,S,,,S
ERS357947,11657_7#81,ERR434531,S,S,,R,R,S,R,,S,,,S
ERS357969,11657_7#82,ERR434532,S,S,,R,R,S,R,,S,,,S
ERS357975,11657_7#83,ERR434533,S,S,,R,S,S,R,,S,,,S
ERS358003,11657_7#84,ERR434534,S,S,,R,S,S,S,,S,,,S
ERS358009,11657_7#85,ERR434535,S,S,,R,S,S,S,,S,,,S
ERS358052,11657_7#87,ERR434537,S,S,,R,R,S,S,,S,,,S
ERS358077,11657_7#88,ERR434538,S,S,,S,S,S,S,,S,,,S
ERS358150,11657_7#89,ERR434539,I,R,,R,R,S,R,,S,,,R
ERS356962,11657_7#8,ERR434458,S,S,R,,S,S,S,S,S,S,S,S
ERS358191,11657_7#90,ERR434540,S,S,,S,S,S,S,,S,,,S
ERS358224,11657_7#91,ERR434541,S,S,,R,S,S,S,,S,,,S
ERS358250,11657_7#92,ERR434542,S,S,,R,R,S,S,,S,,,S
ERS358262,11657_7#93,ERR434543,S,S,,R,R,S,S,,S,,,S
ERS358266,11657_7#94,ERR434544,S,S,,R,S,S,S,,S,,,S
ERS358269,11657_7#95,ERR434545,S,S,,R,S,S,S,,S,,,R
ERS358270,11657_7#96,ERR434546,S,S,,S,S,S,S,,S,,,S
ERS356966,11657_7#9,ERR434459,S,S,R,,S,S,S,S,S,S,S,R
ERS356996,11658_3#10,ERR434556,S,S,S,,S,S,R,I,S,S,S,S
ERS357007,11658_3#11,ERR434557,S,S,R,,R,S,S,S,S,S,S,S
ERS357008,11658_3#12,ERR434558,S,S,S,,S,S,S,S,S,S,S,S
ERS357026,11658_3#13,ERR434559,S,S,R,,R,S,R,R,R,R,R,R
ERS357130,11658_3#14,ERR434560,S,S,S,,S,S,S,S,S,S,S,S
ERS357160,11658_3#19,ERR434565,S,,,R,S,S,S,,S,,,S
ERS356789,11658_3#1,ERR434547,S,S,S,,S,S,S,S,S,S,S,S
ERS357166,11658_3#20,ERR434566,S,,,S,S,S,S,,S,,,S
ERS357167,11658_3#21,ERR434567,S,,,S,S,S,S,,S,,,S
ERS357186,11658_3#22,ERR434568,S,,,R,S,S,S,,S,,,S
ERS357192,11658_3#23,ERR434569,S,,,S,S,S,S,,S,,,S
ERS357194,11658_3#24,ERR434570,S,,,R,R,S,S,,R,,,R
ERS357304,11658_3#25,ERR434571,S,S,,R,R,I,S,,S,,,S
ERS357307,11658_3#26,ERR434572,S,S,,R,S,S,S,,S,,,S
ERS357311,11658_3#27,ERR434573,S,S,,R,R,S,S,,R,,,S
ERS357317,11658_3#28,ERR434574,S,S,,R,S,S,S,,S,,,S
ERS357333,11658_3#29,ERR434575,S,S,,R,R,S,S,,S,,,S
ERS356933,11658_3#2,ERR434548,S,I,R,,R,S,R,R,S,S,R,S
ERS357340,11658_3#30,ERR434576,S,S,,S,S,S,S,,S,,,S
ERS357365,11658_3#31,ERR434577,S,S,,R,R,R,S,,S,,,S
ERS357521,11658_3#32,ERR434578,S,S,,R,S,S,S,,S,,,S
ERS357522,11658_3#33,ERR434579,S,S,,R,S,S,S,,S,,,S
ERS357565,11658_3#34,ERR434580,S,S,,S,S,S,S,,S,,,S
ERS357587,11658_3#35,ERR434581,S,S,,S,S,S,S,,S,,,S
ERS357588,11658_3#36,ERR434582,S,S,,S,S,S,S,,S,,,R
ERS357616,11658_3#37,ERR434583,S,S,,R,R,S,S,,S,,,S
ERS357625,11658_3#38,ERR434584,R,R,,R,R,S,R,,R,,,R
ERS357636,11658_3#39,ERR434585,I,R,,R,S,S,R,,S,,,S
ERS356934,11658_3#3,ERR434549,S,S,R,,S,S,S,S,S,S,R,I
ERS357661,11658_3#40,ERR434586,S,S,,R,S,S,S,,S,,,S
ERS357688,11658_3#41,ERR434587,S,S,,R,R,S,S,,S,,,S
ERS357693,11658_3#42,ERR434588,S,S,,R,R,S,R,,I,,,R
ERS357719,11658_3#43,ERR434589,S,S,,R,S,S,R,,S,,,S
ERS357738,11658_3#44,ERR434590,S,S,,S,S,S,S,,S,,,S
ERS357744,11658_3#45,ERR434591,S,S,,R,S,S,S,,S,,,S
ERS357766,11658_3#46,ERR434592,S,S,,S,S,S,S,,S,,,S
ERS357770,11658_3#47,ERR434593,S,S,,S,S,S,S,,S,,,S
ERS357783,11658_3#48,ERR434594,S,S,,S,S,S,S,,S,,,S
ERS357784,11658_3#49,ERR434595,S,S,,R,R,S,S,,S,,,S
ERS356947,11658_3#4,ERR434550,S,S,S,,S,S,S,S,S,S,S,R
ERS357787,11658_3#50,ERR434596,S,S,,S,S,S,S,,S,,,S
ERS357790,11658_3#51,ERR434597,S,S,,S,S,S,S,,S,,,S
ERS357793,11658_3#52,ERR434598,S,S,,S,S,S,S,,S,,,S
ERS357813,11658_3#53,ERR434599,S,S,,R,R,S,S,,S,,,S
ERS357829,11658_3#54,ERR434600,S,S,,R,R,S,S,,S,,,S
ERS357831,11658_3#55,ERR434601,R,R,,R,S,S,R,,S,,,R
ERS357832,11658_3#56,ERR434602,R,R,,R,R,S,R,,R,,,R
