ENA.Accession.Number,Isolate,Lane.accession,CTZ,CTX,AMP,AMX,AMC,TZP,CXM,CET,GEN,TBM,TMP,CIP
ERS358125,11679_5#79,ERR435274,S,S,,R,S,S,S,,S,,,S
ERS357111,11679_5#7,ERR435202,S,S,S,,S,S,S,S,S,S,S,S
ERS358139,11679_5#80,ERR435275,S,S,,R,R,S,S,,S,,,S
ERS358143,11679_5#81,ERR435276,S,S,,S,S,S,S,,S,,,S
ERS358149,11679_5#82,ERR435277,S,S,,S,S,S,S,,S,,,S
ERS358155,11679_5#83,ERR435278,S,S,,R,S,S,S,,S,,,S
ERS358192,11679_5#84,ERR435279,S,S,,R,S,S,S,,S,,,S
ERS358193,11679_5#85,ERR435280,S,S,,S,S,S,S,,S,,,S
ERS358198,11679_5#86,ERR435281,S,S,,R,S,S,S,,S,,,S
ERS358203,11679_5#87,ERR435282,S,S,,S,S,R,S,,S,,,S
ERS358209,11679_5#88,ERR435283,S,S,,S,S,S,S,,S,,,S
ERS358226,11679_5#89,ERR435284,S,S,,R,S,S,S,,S,,,S
ERS357116,11679_5#8,ERR435203,S,S,S,,S,S,S,I,S,S,S,S
ERS358227,11679_5#90,ERR435285,S,S,,S,S,S,S,,S,,,S
ERS358232,11679_5#91,ERR435286,S,S,,R,S,S,S,,S,,,S
ERS358234,11679_5#92,ERR435287,S,S,,R,R,S,S,,S,,,R
ERS358239,11679_5#93,ERR435288,S,S,,S,S,S,R,,S,,,S
ERS358241,11679_5#94,ERR435289,R,R,,R,R,S,R,,R,,,R
ERS358248,11679_5#95,ERR435290,S,S,,R,S,S,S,,S,,,S
ERS358263,11679_5#96,ERR435291,S,S,,R,S,S,S,,S,,,S
ERS357124,11679_5#9,ERR435204,S,S,S,,S,S,S,S,S,S,S,S
ERS357012,11679_6#10,ERR435301,S,S,R,,S,S,S,I,S,S,R,S
ERS357014,11679_6#11,ERR435302,S,R,R,,S,S,R,R,S,S,S,S
ERS357032,11679_6#12,ERR435303,S,S,R,,R,S,S,I,S,S,R,S
ERS357059,11679_6#13,ERR435304,S,S,S,,S,S,S,I,S,S,S,S
ERS357114,11679_6#14,ERR435305,S,S,R,,S,S,S,S,R,R,R,R
ERS357122,11679_6#15,ERR435306,S,S,R,,R,S,S,R,S,S,R,S
ERS357158,11679_6#18,ERR435309,S,,,S,S,S,S,,S,,,S
ERS357163,11679_6#19,ERR435310,S,,,S,S,S,S,,S,,,S
ERS356901,11679_6#1,ERR435292,S,S,R,,R,R,S,I,S,S,R,S
ERS357178,11679_6#20,ERR435311,S,,,S,S,S,S,,S,,,S
ERS357183,11679_6#21,ERR435312,S,,,S,S,S,R,,R,,,R
ERS357278,11679_6#22,ERR435313,S,S,,R,S,S,S,,S,,,S
ERS357287,11679_6#23,ERR435314,S,S,,R,S,S,S,,S,,,S
ERS357302,11679_6#24,ERR435315,S,S,,R,S,S,S,,S,,,S
ERS357303,11679_6#25,ERR435316,S,S,,R,S,S,S,,S,,,S
ERS357309,11679_6#26,ERR435317,S,S,,S,S,S,S,,S,,,S
ERS357335,11679_6#27,ERR435318,S,S,,R,S,S,S,,S,,,S
ERS357343,11679_6#28,ERR435319,S,S,,R,R,S,S,,S,,,S
ERS357348,11679_6#29,ERR435320,S,S,,S,S,S,S,,S,,,S
ERS356943,11679_6#2,ERR435293,S,S,S,,S,S,S,I,S,S,S,S
ERS357358,11679_6#30,ERR435321,S,S,,R,S,S,S,,S,,,S
ERS357359,11679_6#31,ERR435322,S,S,,R,S,S,S,,S,,,S
ERS357366,11679_6#32,ERR435323,S,S,,S,S,S,S,,S,,,S
ERS357368,11679_6#33,ERR435324,S,S,,R,R,S,S,,S,,,S
ERS357374,11679_6#34,ERR435325,S,S,,R,S,S,S,,S,,,S
ERS357382,11679_6#35,ERR435326,S,S,,S,S,S,S,,S,,,S
ERS357420,11679_6#36,ERR435327,S,S,,R,R,S,S,,S,,,S
ERS357434,11679_6#37,ERR435328,S,S,,R,R,I,S,,S,,,S
ERS357476,11679_6#38,ERR435329,S,S,,R,S,I,S,,S,,,S
ERS357574,11679_6#39,ERR435330,S,S,,S,S,S,S,,S,,,S
ERS356944,11679_6#3,ERR435294,S,S,S,,S,S,S,S,S,S,S,S
ERS357582,11679_6#40,ERR435331,S,S,,R,S,S,S,,S,,,S
ERS357593,11679_6#41,ERR435332,S,S,,S,S,S,S,,S,,,S
ERS357597,11679_6#42,ERR435333,S,S,,S,S,S,S,,S,,,S
ERS357608,11679_6#43,ERR435334,S,S,,S,S,S,S,,S,,,S
ERS357615,11679_6#44,ERR435335,S,S,,R,S,S,S,,S,,,S
ERS357626,11679_6#45,ERR435336,S,S,,R,S,S,S,,S,,,S
ERS357628,11679_6#46,ERR435337,S,S,,R,S,S,R,,S,,,R
ERS357630,11679_6#47,ERR435338,S,S,,R,S,S,R,,S,,,R
ERS357643,11679_6#48,ERR435339,S,S,,R,S,S,S,,S,,,S
ERS357670,11679_6#49,ERR435340,S,S,,R,S,S,S,,S,,,S
ERS356951,11679_6#4,ERR435295,S,S,S,,S,S,S,S,S,S,R,R
ERS357698,11679_6#50,ERR435341,S,S,,S,S,S,S,,I,,,R
ERS357732,11679_6#51,ERR435342,S,S,,R,S,S,S,,R,,,S
ERS357733,11679_6#52,ERR435343,S,S,,R,R,S,R,,S,,,S
ERS357752,11679_6#53,ERR435344,S,S,,R,R,S,S,,S,,,S
ERS357758,11679_6#54,ERR435345,S,S,,S,S,S,S,,S,,,S
ERS357761,11679_6#55,ERR435346,S,S,,R,R,S,S,,S,,,S
ERS357769,11679_6#56,ERR435347,S,S,,R,R,I,S,,S,,,S
ERS357776,11679_6#57,ERR435348,S,S,,S,S,S,S,,S,,,S
ERS357782,11679_6#58,ERR435349,S,S,,S,S,S,S,,S,,,S
ERS357795,11679_6#59,ERR435350,R,R,,R,R,R,R,,S,,,R
ERS356955,11679_6#5,ERR435296,S,S,R,,R,S,R,R,S,S,S,S
ERS357810,11679_6#60,ERR435351,S,S,,R,S,S,S,,I,,,S
ERS357833,11679_6#61,ERR435352,S,S,,S,S,S,S,,S,,,S
ERS357842,11679_6#62,ERR435353,S,S,,R,S,S,S,,S,,,S
ERS357844,11679_6#63,ERR435354,S,S,,R,S,S,S,,S,,,S
ERS357859,11679_6#64,ERR435355,S,S,,R,S,S,S,,S,,,S
ERS357864,11679_6#65,ERR435356,S,S,,S,S,S,S,,S,,,S
ERS357865,11679_6#66,ERR435357,S,S,,S,S,S,S,,S,,,S
ERS357868,11679_6#67,ERR435358,S,S,,R,R,I,R,,S,,,S
ERS357873,11679_6#68,ERR435359,S,S,,R,R,S,S,,S,,,S
ERS357898,11679_6#69,ERR435360,S,S,,S,S,S,S,,S,,,S
ERS357919,11679_6#70,ERR435361,S,S,,R,S,S,S,,S,,,S
ERS357952,11679_6#71,ERR435362,S,S,,S,S,S,S,,S,,,S
ERS357954,11679_6#72,ERR435363,R,R,,R,R,S,R,,S,,,S
ERS357982,11679_6#73,ERR435364,S,S,,R,S,S,S,,S,,,S
ERS358022,11679_6#74,ERR435365,S,S,,R,S,S,S,,S,,,S
ERS358045,11679_6#75,ERR435366,S,S,,R,S,S,S,,S,,,S
ERS358050,11679_6#76,ERR435367,S,S,,S,S,S,S,,S,,,S
ERS358056,11679_6#77,ERR435368,S,S,,R,S,S,S,,S,,,S
ERS358059,11679_6#78,ERR435369,S,S,,R,R,S,S,,S,,,S
ERS358093,11679_6#79,ERR435370,S,S,,R,S,S,S,,S,,,S
ERS357003,11679_6#7,ERR435298,S,S,R,,R,S,S,I,R,R,R,I
ERS358099,11679_6#80,ERR435371,S,S,,S,S,S,S,,S,,,S
ERS358112,11679_6#81,ERR435372,S,S,,R,S,S,S,,S,,,S
ERS358130,11679_6#82,ERR435373,S,S,,S,S,S,S,,S,,,S
ERS358145,11679_6#83,ERR435374,S,R,,R,R,R,R,,S,,,R
ERS358152,11679_6#84,ERR435375,S,S,,R,R,I,S,,S,,,S
ERS358157,11679_6#85,ERR435376,S,S,,R,R,S,S,,S,,,S
ERS358161,11679_6#86,ERR435377,S,S,,R,S,S,S,,S,,,S
ERS358170,11679_6#87,ERR435378,S,S,,R,R,S,S,,S,,,S
ERS358180,11679_6#88,ERR435379,S,S,,R,R,S,S,,S,,,S
ERS358188,11679_6#89,ERR435380,S,S,,R,R,S,S,,S,,,S
ERS357005,11679_6#8,ERR435299,S,S,R,,R,S,S,S,I,I,R,S
ERS358200,11679_6#90,ERR435381,S,S,R,,S,S,S,S,S,S,R,S
ERS358202,11679_6#91,ERR435382,S,S,,S,S,S,S,,S,,,S
ERS358215,11679_6#92,ERR435383,R,R,,R,R,R,R,,R,,,R
ERS358230,11679_6#93,ERR435384,I,R,,R,R,I,R,,I,,,R
ERS358240,11679_6#94,ERR435385,R,R,,R,R,S,R,,R,,,R
ERS358257,11679_6#95,ERR435386,S,R,,R,R,S,R,,S,,,R
ERS358268,11679_6#96,ERR435387,S,S,,S,S,S,S,,S,,,S
ERS357006,11679_6#9,ERR435300,S,S,R,,S,S,S,I,S,S,R,S
ERS357115,11679_7#10,ERR435397,S,S,S,,S,S,S,I,S,S,S,S
ERS357131,11679_7#11,ERR435398,S,S,R,,R,S,S,S,S,S,S,S
ERS357134,11679_7#12,ERR435399,S,S,S,,S,S,S,I,S,S,R,S
ERS357145,11679_7#13,ERR435400,S,S,R,,S,S,S,S,S,S,S,S
ERS357164,11679_7#14,ERR435401,S,,,R,S,S,S,,S,,,S
ERS357170,11679_7#15,ERR435402,S,,,R,S,S,S,,S,,,S
ERS357173,11679_7#16,ERR435403,S,,,S,S,S,S,,S,,,S
ERS357180,11679_7#17,ERR435404,S,,,S,S,S,S,,S,,,S
ERS357190,11679_7#18,ERR435405,S,,,R,S,S,S,,S,,,S
ERS357196,11679_7#19,ERR435406,S,,,R,S,S,S,,S,,,S
ERS356932,11679_7#1,ERR435388,S,S,S,,S,S,S,S,S,S,S,S
ERS357208,11679_7#20,ERR435407,S,S,S,,S,S,S,I,S,S,R,R
ERS357305,11679_7#21,ERR435408,S,S,,R,R,S,S,,S,,,S
ERS357315,11679_7#22,ERR435409,S,S,,R,R,S,S,,S,,,S
ERS357328,11679_7#23,ERR435410,S,S,,S,S,S,S,,S,,,S
ERS357329,11679_7#24,ERR435411,S,S,,R,S,S,S,,R,,,R
ERS357351,11679_7#26,ERR435413,S,S,,R,R,S,S,,S,,,S
ERS357378,11679_7#27,ERR435414,S,S,,S,S,S,R,,S,,,S
ERS357517,11679_7#28,ERR435415,S,S,,S,S,S,S,,S,,,S
ERS357594,11679_7#29,ERR435416,S,S,,S,S,S,S,,S,,,S
ERS356960,11679_7#2,ERR435389,S,S,S,,S,S,S,S,S,S,S,S
ERS357602,11679_7#30,ERR435417,S,S,,S,S,S,S,,S,,,S
ERS357603,11679_7#31,ERR435418,S,S,,S,S,S,R,,S,,,S
ERS357604,11679_7#32,ERR435419,S,S,,R,S,S,S,,S,,,S
ERS357617,11679_7#34,ERR435421,S,S,,S,S,S,S,,S,,,S
ERS357637,11679_7#35,ERR435422,S,S,,R,R,S,S,,S,,,S
ERS357641,11679_7#36,ERR435423,S,S,,S,S,S,S,,S,,,S
ERS357668,11679_7#37,ERR435424,S,S,,R,S,S,S,,S,,,S
ERS357696,11679_7#38,ERR435425,S,S,,S,S,S,S,,S,,,S
ERS357709,11679_7#39,ERR435426,S,S,,S,S,S,S,,S,,,S
ERS357717,11679_7#40,ERR435427,S,S,,S,S,S,S,,S,,,S
ERS357730,11679_7#41,ERR435428,S,S,,R,R,S,R,,S,,,R
ERS357743,11679_7#42,ERR435429,S,S,,R,R,S,R,,S,,,R
ERS357746,11679_7#43,ERR435430,S,S,,R,R,S,S,,S,,,S
ERS357747,11679_7#44,ERR435431,R,R,,R,R,I,R,,R,,,R
ERS357759,11679_7#45,ERR435432,S,S,,R,S,S,S,,S,,,S
ERS357789,11679_7#46,ERR435433,S,S,,R,R,S,S,,S,,,S
ERS357803,11679_7#47,ERR435434,S,S,,R,R,S,S,,R,,,S
ERS357804,11679_7#48,ERR435435,S,S,,S,S,S,S,,S,,,S
ERS357806,11679_7#49,ERR435436,S,S,,R,S,S,S,,R,,,R
ERS356979,11679_7#4,ERR435391,S,S,R,,R,S,R,R,S,S,S,S
ERS357815,11679_7#50,ERR435437,S,S,,R,S,S,S,,S,,,S
ERS357819,11679_7#51,ERR435438,S,S,,R,S,S,S,,S,,,S
ERS357826,11679_7#52,ERR435439,S,S,,S,S,S,S,,S,,,S
ERS357843,11679_7#53,ERR435440,S,S,,R,S,S,R,,S,,,R
ERS357852,11679_7#54,ERR435441,R,R,,R,R,S,R,,S,,,R
ERS357862,11679_7#55,ERR435442,S,S,,S,S,S,S,,S,,,S
ERS357869,11679_7#56,ERR435443,S,S,,R,R,S,S,,S,,,S
ERS357872,11679_7#57,ERR435444,S,S,,R,S,S,S,,S,,,S
ERS357884,11679_7#58,ERR435445,S,S,,R,S,S,S,,S,,,R
ERS357891,11679_7#59,ERR435446,S,S,,S,S,S,S,,S,,,S
ERS356985,11679_7#5,ERR435392,I,R,R,,R,S,R,R,S,R,R,R
ERS357906,11679_7#60,ERR435447,S,S,,S,S,S,S,,S,,,S
ERS357915,11679_7#61,ERR435448,S,S,,R,R,R,R,,S,,,S
ERS357922,11679_7#62,ERR435449,S,S,,R,R,S,S,,S,,,S
ERS357930,11679_7#63,ERR435450,R,S,,R,R,R,R,,S,,,S
ERS357935,11679_7#64,ERR435451,S,S,,S,S,S,S,,S,,,S
ERS357949,11679_7#65,ERR435452,S,S,,S,S,S,S,,S,,,S
ERS357950,11679_7#66,ERR435453,S,S,,R,R,S,S,,S,,,S
ERS357959,11679_7#67,ERR435454,S,S,,S,S,S,S,,S,,,S
ERS357965,11679_7#68,ERR435455,S,S,,S,S,S,S,,S,,,S
ERS357971,11679_7#69,ERR435456,S,S,,S,S,S,S,,S,,,S
ERS356989,11679_7#6,ERR435393,S,S,S,,S,S,S,S,S,S,S,S
ERS357999,11679_7#70,ERR435457,S,S,,R,R,S,R,,S,,,R
ERS358001,11679_7#71,ERR435458,S,S,,S,S,S,R,,S,,,S
ERS358048,11679_7#72,ERR435459,S,S,,S,S,S,S,,S,,,S
ERS358053,11679_7#73,ERR435460,S,S,,S,S,S,S,,S,,,S
ERS358054,11679_7#74,ERR435461,S,S,,R,S,S,S,,S,,,S
ERS358058,11679_7#75,ERR435462,S,S,,R,R,S,S,,S,,,S
ERS358062,11679_7#76,ERR435463,S,S,,R,S,S,S,,S,,,S
ERS358067,11679_7#77,ERR435464,S,S,,R,R,S,S,,R,,,R
ERS358091,11679_7#78,ERR435465,S,S,,S,S,S,S,,S,,,S
ERS358100,11679_7#79,ERR435466,S,S,,R,R,S,S,,S,,,S
ERS358107,11679_7#80,ERR435467,S,S,,S,S,S,S,,S,,,S
ERS358120,11679_7#81,ERR435468,S,S,,S,S,S,S,,S,,,S
ERS358134,11679_7#82,ERR435469,S,S,,R,R,S,R,,S,,,R
ERS358177,11679_7#83,ERR435470,S,S,,R,S,S,S,,R,,,S
ERS358185,11679_7#84,ERR435471,S,S,,S,S,S,R,,S,,,S
ERS358190,11679_7#85,ERR435472,S,S,,S,S,S,S,,S,,,S
ERS358194,11679_7#86,ERR435473,S,S,,S,S,S,S,,S,,,S
ERS358195,11679_7#87,ERR435474,S,S,,S,S,S,S,,S,,,S
ERS358201,11679_7#88,ERR435475,S,S,,S,S,S,S,,S,,,S
ERS358219,11679_7#89,ERR435476,S,S,,S,S,S,S,,S,,,S
ERS357010,11679_7#8,ERR435395,S,S,R,,S,S,S,I,S,S,R,R
ERS358225,11679_7#90,ERR435477,S,S,,R,S,S,S,,S,,,S
ERS358235,11679_7#91,ERR435478,S,S,,S,S,S,S,,S,,,S
ERS358243,11679_7#92,ERR435479,S,S,,S,S,S,S,,S,,,S
ERS358246,11679_7#93,ERR435480,S,S,,S,S,S,S,,S,,,R
ERS358251,11679_7#94,ERR435481,S,S,,S,S,S,S,,S,,,S
ERS358260,11679_7#95,ERR435482,R,R,,R,R,S,R,,S,,,S
ERS358265,11679_7#96,ERR435483,S,S,,S,S,S,S,,S,,,S
ERS357013,11679_7#9,ERR435396,S,S,R,,R,S,S,I,S,S,R,S
ERS357137,11679_8#10,ERR435493,S,S,S,,S,S,S,S,S,S,S,S
ERS357142,11679_8#11,ERR435494,R,R,R,,S,S,R,R,S,S,R,R
ERS357168,11679_8#12,ERR435495,S,,,S,S,S,S,,S,,,S
ERS357171,11679_8#13,ERR435496,S,,,S,S,S,S,,S,,,S
ERS357174,11679_8#14,ERR435497,S,,,S,S,S,S,,S,,,S
ERS357231,11679_8#15,ERR435498,S,,,R,S,S,S,,S,,,S
ERS357248,11679_8#16,ERR435499,S,S,,R,S,S,S,,S,,,S
ERS357264,11679_8#17,ERR435500,S,S,,S,S,S,S,,S,,,S
ERS357269,11679_8#18,ERR435501,S,S,,S,S,S,S,,S,,,S
ERS357283,11679_8#19,ERR435502,S,S,,S,S,S,S,,S,,,S
ERS356952,11679_8#1,ERR435484,S,S,S,,S,S,S,I,S,S,S,S
ERS357296,11679_8#20,ERR435503,S,S,,R,S,S,S,,S,,,S
ERS357300,11679_8#21,ERR435504,S,S,,R,S,S,S,,S,,,S
ERS357312,11679_8#22,ERR435505,S,S,,R,S,S,S,,S,,,S
ERS357322,11679_8#23,ERR435506,S,S,,S,S,S,S,,S,,,S
ERS357326,11679_8#24,ERR435507,S,S,,S,S,S,S,,S,,,S
ERS357327,11679_8#25,ERR435508,S,S,,S,S,S,S,,S,,,S
ERS357332,11679_8#26,ERR435509,S,S,,R,S,S,S,,S,,,S
ERS357334,11679_8#27,ERR435510,S,S,,R,S,S,S,,S,,,S
ERS357337,11679_8#28,ERR435511,S,S,,R,S,S,S,,S,,,S
ERS357339,11679_8#29,ERR435512,S,S,,S,S,S,S,,S,,,S
ERS356976,11679_8#2,ERR435485,S,S,R,,S,S,S,S,S,S,S,S
ERS357349,11679_8#30,ERR435513,S,S,,S,S,S,S,,S,,,S
ERS357352,11679_8#31,ERR435514,S,S,,R,S,S,S,,S,,,S
ERS357363,11679_8#32,ERR435515,S,S,,R,S,S,S,,S,,,S
ERS357379,11679_8#33,ERR435516,R,R,,R,R,S,R,,S,,,S
ERS357388,11679_8#34,ERR435517,S,S,,S,S,S,S,,S,,,S
ERS357391,11679_8#35,ERR435518,S,S,,R,S,S,S,,S,,,S
ERS357393,11679_8#36,ERR435519,S,S,,R,S,S,S,,S,,,S
ERS357395,11679_8#37,ERR435520,S,S,,S,S,S,S,,S,,,S
ERS357402,11679_8#38,ERR435521,S,S,,S,S,S,S,,S,,,S
ERS357404,11679_8#39,ERR435522,S,S,,S,S,S,S,,S,,,S
ERS356983,11679_8#3,ERR435486,S,S,R,,R,S,R,R,S,S,S,S
ERS357411,11679_8#40,ERR435523,S,S,,R,S,S,S,,S,,,R
ERS357412,11679_8#41,ERR435524,S,S,,R,S,S,S,,S,,,S
ERS357436,11679_8#42,ERR435525,S,S,,R,S,S,S,,S,,,S
ERS357448,11679_8#43,ERR435526,S,S,,R,S,I,S,,S,,,S
ERS357475,11679_8#44,ERR435527,S,S,,S,S,S,S,,S,,,S
ERS357576,11679_8#45,ERR435528,S,S,,S,S,S,S,,S,,,S
ERS357581,11679_8#46,ERR435529,S,S,,S,S,S,S,,S,,,S
ERS357586,11679_8#47,ERR435530,S,S,,R,R,S,S,,R,,,S
ERS357590,11679_8#48,ERR435531,S,S,,R,S,S,S,,S,,,S
ERS357600,11679_8#49,ERR435532,S,S,,R,S,S,S,,S,,,S
ERS356992,11679_8#4,ERR435487,S,S,S,,S,S,S,S,S,S,S,S
ERS357619,11679_8#50,ERR435533,S,S,,R,S,S,S,,S,,,S
ERS357639,11679_8#52,ERR435534,S,S,,S,S,S,S,,S,,,S
ERS357659,11679_8#53,ERR435535,S,S,,S,S,S,S,,S,,,S
ERS357663,11679_8#54,ERR435536,S,S,,S,S,S,S,,S,,,S
ERS357671,11679_8#55,ERR435537,R,R,,R,S,S,R,,S,,,R
ERS357673,11679_8#56,ERR435538,S,S,,R,S,S,S,,S,,,S
ERS357677,11679_8#57,ERR435539,S,S,,R,S,S,S,,S,,,S
ERS357682,11679_8#58,ERR435540,S,S,,R,R,S,S,,S,,,S
ERS357710,11679_8#59,ERR435541,S,S,,R,S,S,S,,R,,,R
ERS356997,11679_8#5,ERR435488,S,S,S,,S,S,S,I,S,S,S,S
ERS357721,11679_8#60,ERR435542,S,S,,S,S,S,S,,S,,,S
ERS357722,11679_8#61,ERR435543,S,S,,R,R,S,S,,S,,,S
ERS357723,11679_8#62,ERR435544,S,S,,S,S,S,S,,S,,,S
ERS357726,11679_8#63,ERR435545,S,S,,R,R,S,S,,S,,,S
ERS357734,11679_8#64,ERR435546,R,R,,R,R,R,R,,R,,,R
ERS357750,11679_8#65,ERR435547,S,S,,R,S,S,S,,S,,,S
ERS357764,11679_8#66,ERR435548,S,S,,R,S,S,S,,S,,,S
ERS357774,11679_8#67,ERR435549,S,S,,R,R,S,S,,S,,,S
ERS357828,11679_8#68,ERR435550,S,S,,R,S,S,S,,S,,,S
ERS357847,11679_8#69,ERR435551,S,S,,R,S,S,S,,S,,,S
ERS357009,11679_8#6,ERR435489,S,S,R,,S,S,S,I,R,R,S,R
ERS357913,11679_8#70,ERR435552,S,S,,R,R,I,S,,R,,,S
ERS357914,11679_8#71,ERR435553,S,S,,R,S,S,S,,S,,,S
ERS357921,11679_8#72,ERR435554,S,S,,S,S,S,S,,S,,,S
ERS357977,11679_8#73,ERR435555,S,S,,R,S,S,S,,S,,,S
ERS357990,11679_8#74,ERR435556,S,S,,S,S,S,S,,S,,,S
ERS358043,11679_8#75,ERR435557,S,S,,R,R,S,S,,I,,,R
ERS358046,11679_8#76,ERR435558,S,S,,R,S,S,R,,S,,,S
ERS358051,11679_8#77,ERR435559,S,S,,S,S,S,S,,S,,,S
ERS358085,11679_8#78,ERR435560,S,S,,S,S,S,S,,S,,,S
ERS358086,11679_8#79,ERR435561,S,S,,R,S,S,S,,S,,,S
ERS357039,11679_8#7,ERR435490,S,S,R,,S,S,S,S,S,S,R,R
ERS358089,11679_8#80,ERR435562,I,I,,R,R,S,R,,S,,,S
ERS358153,11679_8#81,ERR435563,S,S,,S,S,S,S,,S,,,S
ERS358159,11679_8#82,ERR435564,S,S,,R,S,S,S,,S,,,S
ERS358160,11679_8#83,ERR435565,S,I,,R,R,I,R,,S,,,S
ERS358165,11679_8#84,ERR435566,S,S,,R,R,S,S,,S,,,S
ERS358168,11679_8#85,ERR435567,S,S,,R,R,S,S,,R,,,R
ERS358169,11679_8#86,ERR435568,S,S,,S,S,S,S,,S,,,S
ERS358176,11679_8#87,ERR435569,S,S,,R,S,S,S,,S,,,S
ERS358181,11679_8#88,ERR435570,S,S,,R,S,S,S,,S,,,S
ERS358205,11679_8#89,ERR435571,S,S,,R,R,S,S,,S,,,R
ERS357100,11679_8#8,ERR435491,S,S,S,,S,S,S,S,S,S,S,S
ERS358231,11679_8#90,ERR435572,S,S,,R,R,S,S,,S,,,S
ERS358233,11679_8#91,ERR435573,S,S,,S,S,S,S,,S,,,S
ERS358247,11679_8#92,ERR435574,S,S,,R,S,S,S,,S,,,R
ERS358249,11679_8#93,ERR435575,S,S,,S,S,S,S,,S,,,S
ERS358252,11679_8#94,ERR435576,S,S,,R,R,S,R,,S,,,S
ERS358256,11679_8#95,ERR435577,S,S,,R,R,S,S,,S,,,S
ERS358271,11679_8#96,ERR435578,S,S,,R,R,R,S,,S,,,S
ERS357113,11679_8#9,ERR435492,I,S,R,,R,S,R,R,S,S,S,S
ERS357274,11791_3#10,ERR439542,S,S,,S,S,S,S,,S,,,S
ERS357281,11791_3#11,ERR439543,S,S,,S,S,S,S,,S,,,S
ERS357306,11791_3#12,ERR439544,S,S,,S,S,S,S,,S,,,S
ERS357308,11791_3#13,ERR439545,S,S,,R,S,S,S,,S,,,S
ERS357314,11791_3#14,ERR439546,S,S,,R,S,S,S,,S,,,S
ERS357320,11791_3#15,ERR439547,S,S,,S,S,S,S,,S,,,S
ERS357321,11791_3#16,ERR439548,S,S,,S,S,S,R,,S,,,S
ERS357325,11791_3#17,ERR439549,S,S,,R,S,S,S,,S,,,S
ERS357336,11791_3#18,ERR439550,S,S,,R,S,S,S,,S,,,S
ERS357338,11791_3#19,ERR439551,S,S,,R,S,S,S,,S,,,S
ERS357081,11791_3#1,ERR439533,S,S,R,,R,,S,R,S,S,I,R
ERS357341,11791_3#20,ERR439552,S,S,,R,R,S,S,,S,,,S
ERS357344,11791_3#21,ERR439553,S,S,,R,R,R,R,,I,,,S
ERS357345,11791_3#22,ERR439554,S,S,,R,R,S,S,,S,,,S
ERS357346,11791_3#23,ERR439555,S,S,,R,S,S,S,,S,,,S
ERS357353,11791_3#24,ERR439556,S,S,,R,R,R,S,,S,,,S
ERS357354,11791_3#25,ERR439557,S,S,,R,S,S,S,,S,,,S
ERS357356,11791_3#26,ERR439558,S,S,,R,R,R,R,,S,,,S
ERS357360,11791_3#27,ERR439559,S,S,,S,S,S,S,,S,,,S
ERS357364,11791_3#28,ERR439560,S,S,,R,R,R,S,,S,,,S
ERS357369,11791_3#29,ERR439561,S,S,,R,R,S,S,,S,,,S
ERS357092,11791_3#2,ERR439534,S,S,R,,S,S,S,S,S,S,R,S
ERS357372,11791_3#30,ERR439562,S,S,,R,S,S,S,,S,,,S
ERS357376,11791_3#31,ERR439563,S,S,,S,S,S,S,,S,,,S
ERS357386,11791_3#32,ERR439564,S,S,,R,S,S,S,,S,,,R
ERS357415,11791_3#33,ERR439565,S,S,,R,S,S,S,,S,,,S
ERS357418,11791_3#34,ERR439566,S,S,,R,R,S,S,,S,,,S
ERS357421,11791_3#35,ERR439567,S,S,,S,S,S,S,,S,,,S
ERS357440,11791_3#36,ERR439568,S,S,,S,S,R,S,,S,,,S
ERS357449,11791_3#37,ERR439569,S,S,,R,S,S,S,,S,,,S
ERS357578,11791_3#38,ERR439570,S,S,,S,S,S,S,,S,,,S
ERS357584,11791_3#39,ERR439571,S,S,,R,R,S,S,,S,,,S
ERS357127,11791_3#3,ERR439535,S,S,R,,S,S,S,I,S,S,S,S
ERS357585,11791_3#40,ERR439572,S,S,,S,S,S,S,,S,,,S
ERS357596,11791_3#41,ERR439573,S,S,,S,S,S,S,,S,,,S
