ENA.Accession.Number,Isolate,Lane.accession,CTZ,CTX,AMP,AMX,AMC,TZP,CXM,CET,GEN,TBM,TMP,CIP
ERS357607,11791_3#42,ERR439574,S,S,,S,S,S,S,,S,,,S
ERS357614,11791_3#43,ERR439575,I,R,,R,R,S,R,,S,,,R
ERS357620,11791_3#44,ERR439576,S,S,,R,S,S,S,,S,,,S
ERS357631,11791_3#45,ERR439577,S,S,,S,S,S,S,,S,,,S
ERS357644,11791_3#46,ERR439578,S,S,,R,R,S,S,,S,,,S
ERS357645,11791_3#47,ERR439579,S,S,,S,S,S,S,,S,,,S
ERS357654,11791_3#48,ERR439580,S,S,,R,R,S,S,,S,,,S
ERS357667,11791_3#49,ERR439581,S,S,,S,S,S,R,,S,,,S
ERS357143,11791_3#4,ERR439536,S,S,S,,S,S,S,I,S,S,S,S
ERS357686,11791_3#50,ERR439582,S,S,,R,S,S,S,,R,,,S
ERS357695,11791_3#51,ERR439583,S,S,,R,R,S,S,,S,,,S
ERS357704,11791_3#52,ERR439584,S,S,,R,S,S,S,,S,,,S
ERS357711,11791_3#53,ERR439585,S,S,,S,S,S,S,,S,,,S
ERS357713,11791_3#54,ERR439586,S,S,,S,S,S,S,,S,,,S
ERS357728,11791_3#55,ERR439587,S,S,,R,R,R,R,,S,,,R
ERS357729,11791_3#56,ERR439588,S,S,,R,R,S,S,,S,,,S
ERS357736,11791_3#57,ERR439589,S,S,,R,R,I,R,,S,,,S
ERS357745,11791_3#58,ERR439590,S,S,,S,S,S,S,,S,,,S
ERS357753,11791_3#59,ERR439591,S,S,,S,S,S,S,,S,,,S
ERS357147,11791_3#5,ERR439537,S,S,S,,S,S,S,S,S,S,S,S
ERS357771,11791_3#60,ERR439592,S,S,,S,S,S,S,,S,,,S
ERS357777,11791_3#61,ERR439593,S,S,,R,R,R,R,,S,,,S
ERS357800,11791_3#62,ERR439594,S,S,,S,S,S,S,,S,,,S
ERS357830,11791_3#63,ERR439595,S,S,,R,R,S,S,,R,,,R
ERS357927,11791_3#64,ERR439596,S,S,,R,S,S,S,,S,,,S
ERS357946,11791_3#65,ERR439597,S,S,,R,R,S,S,,S,,,S
ERS358095,11791_3#66,ERR439598,S,S,,R,S,S,S,,S,,,S
ERS358133,11791_3#67,ERR439599,S,S,,S,S,S,S,,S,,,S
ERS358136,11791_3#68,ERR439600,S,S,R,,S,S,S,I,S,S,S,S
ERS358138,11791_3#69,ERR439601,R,R,R,,R,R,R,R,S,S,S,R
ERS357195,11791_3#6,ERR439538,S,,,R,R,S,S,,R,,,R
ERS358140,11791_3#70,ERR439602,S,S,,R,S,I,R,,S,,,S
ERS358141,11791_3#71,ERR439603,S,S,,S,S,I,S,,S,,,S
ERS358144,11791_3#72,ERR439604,S,S,,R,S,S,S,,S,,,S
ERS358146,11791_3#73,ERR439605,S,S,,S,S,I,S,,S,,,S
ERS358148,11791_3#74,ERR439606,S,S,,R,S,S,S,,S,,,S
ERS358151,11791_3#75,ERR439607,S,S,,R,R,S,S,,S,,,S
ERS358156,11791_3#76,ERR439608,S,S,,S,S,S,S,,S,,,S
ERS358162,11791_3#77,ERR439609,S,S,,R,R,S,R,,S,,,S
ERS358164,11791_3#78,ERR439610,S,S,,R,R,I,R,,I,,,S
ERS358173,11791_3#79,ERR439611,S,S,,S,S,S,S,,S,,,S
ERS357240,11791_3#7,ERR439539,S,S,,S,S,S,S,,S,,,S
ERS358174,11791_3#80,ERR439612,S,S,,R,S,S,S,,S,,,S
ERS358178,11791_3#81,ERR439613,S,S,,R,S,S,S,,S,,,R
ERS358182,11791_3#82,ERR439614,S,S,,S,S,S,S,,S,,,S
ERS358183,11791_3#83,ERR439615,S,S,,S,S,S,S,,S,,,R
ERS358184,11791_3#84,ERR439616,S,S,,S,S,S,S,,S,,,S
ERS358186,11791_3#85,ERR439617,S,S,,R,S,S,S,,S,,,S
ERS358189,11791_3#86,ERR439618,S,S,,S,S,S,S,,S,,,S
ERS358214,11791_3#87,ERR439619,S,S,,S,S,S,S,,S,,,R
ERS358216,11791_3#88,ERR439620,S,S,,S,S,S,S,,S,,,S
ERS358217,11791_3#89,ERR439621,S,S,,R,R,S,S,,S,,,S
ERS357255,11791_3#8,ERR439540,S,S,,S,S,S,S,,S,,,S
ERS358218,11791_3#90,ERR439622,S,S,,R,R,S,S,,S,,,S
ERS358222,11791_3#91,ERR439623,S,S,,R,R,S,S,,S,,,S
ERS358229,11791_3#92,ERR439624,S,S,,R,R,S,S,,S,,,S
ERS358238,11791_3#93,ERR439625,S,S,,R,R,S,R,,S,,,S
ERS358244,11791_3#94,ERR439626,S,S,,S,S,S,S,,S,,,S
ERS358259,11791_3#95,ERR439627,S,,,R,R,R,R,,I,,,S
ERS358264,11791_3#96,ERR439628,S,S,,R,R,R,S,,S,,,S
ERS357266,11791_3#9,ERR439541,S,S,,S,S,S,S,,S,,,S
ERS357020,11791_6#10,ERR439637,S,S,R,,R,S,S,S,S,S,S,S
ERS357207,11791_6#11,ERR439638,S,S,S,,S,S,S,S,S,S,S,S
ERS357254,11791_6#12,ERR439639,S,S,,R,R,S,S,,S,,,S
ERS357261,11791_6#13,ERR439640,S,S,,R,S,S,S,,S,,,S
ERS357262,11791_6#14,ERR439641,S,S,,R,R,I,R,,S,,,R
ERS357272,11791_6#15,ERR439642,S,S,,S,S,S,S,,S,,,S
ERS357280,11791_6#16,ERR439643,S,S,,S,S,S,S,,S,,,S
ERS357319,11791_6#17,ERR439644,S,S,,S,S,S,S,,S,,,S
ERS357357,11791_6#18,ERR439645,S,S,,R,S,S,S,,R,,,I
ERS356757,11791_6#1,ERR439629,S,S,R,,S,S,S,I,R,I,S,S
ERS357463,11791_6#20,ERR439647,S,S,,R,S,S,S,,S,,,S
ERS357523,11791_6#21,ERR439648,S,S,,S,S,S,S,,S,,,S
ERS357553,11791_6#22,ERR439649,S,S,,S,S,S,S,,S,,,S
ERS357589,11791_6#23,ERR439650,S,S,,R,S,S,S,,S,,,S
ERS357801,11791_6#24,ERR439651,R,R,,R,R,I,R,,R,,,R
ERS357817,11791_6#25,ERR439652,S,S,,R,R,S,S,,S,,,R
ERS357840,11791_6#26,ERR439653,S,S,,R,R,S,S,,S,,,S
ERS357880,11791_6#27,ERR439654,S,R,,R,S,S,R,,S,,,S
ERS357934,11791_6#28,ERR439655,S,S,,R,R,S,S,,S,,,S
ERS357940,11791_6#29,ERR439656,R,R,,R,R,I,R,,R,,,R
ERS356796,11791_6#2,ERR439630,S,S,S,,S,S,S,I,S,S,R,R
ERS357957,11791_6#30,ERR439657,S,S,,R,R,S,R,,S,,,R
ERS357979,11791_6#32,ERR439658,S,S,,R,R,S,S,,S,,,S
ERS357991,11791_6#33,ERR439659,S,S,,R,S,S,S,,R,,,R
ERS358017,11791_6#34,ERR439660,S,S,,R,S,S,S,,S,,,S
ERS358030,11791_6#35,ERR439661,S,S,,R,R,S,R,,S,,,S
ERS358084,11791_6#36,ERR439662,S,S,,R,R,S,S,,S,,,S
ERS358106,11791_6#37,ERR439663,S,S,,R,S,S,S,,R,,,R
ERS358179,11791_6#38,ERR439664,S,S,,S,S,S,S,,S,,,S
ERS358187,11791_6#39,ERR439665,S,S,,S,S,S,S,,S,,,S
ERS356829,11791_6#3,ERR439631,S,S,R,,S,S,S,S,S,S,R,S
ERS356852,11791_6#4,ERR439632,S,S,R,,S,S,S,S,S,S,R,S
ERS356854,11791_6#5,ERR439633,S,S,R,,R,S,S,I,S,S,S,S
ERS356881,11791_6#6,ERR439634,S,S,R,,R,S,S,S,S,S,R,S
ERS356910,11791_6#7,ERR439635,S,S,R,,R,S,R,I,S,R,R,R
ERS356937,11791_6#9,ERR439636,S,S,S,,S,S,S,I,S,S,S,R
ERS356799,11791_7#10,ERR439674,S,S,S,,S,S,S,I,S,S,S,S
ERS356802,11791_7#11,ERR439675,S,S,R,,S,S,S,S,S,S,S,S
ERS356803,11791_7#12,ERR439676,S,S,S,,S,S,S,S,S,S,S,S
ERS356817,11791_7#13,ERR439677,S,S,R,,R,R,S,I,S,S,S,S
ERS356818,11791_7#14,ERR439678,S,S,S,,S,S,S,S,S,S,S,S
ERS356821,11791_7#15,ERR439679,S,S,S,,S,S,S,S,S,S,S,S
ERS356856,11791_7#16,ERR439680,S,S,S,,S,S,S,S,S,S,S,S
ERS356868,11791_7#17,ERR439681,S,S,R,,R,R,S,I,S,S,R,S
ERS356870,11791_7#18,ERR439682,S,S,R,,R,S,S,S,S,S,S,S
ERS356882,11791_7#19,ERR439683,S,S,S,,S,S,S,S,S,S,I,S
ERS356753,11791_7#1,ERR439666,S,S,R,,R,R,S,I,S,S,S,S
ERS356899,11791_7#20,ERR439684,S,S,S,,S,S,S,S,S,S,S,S
ERS356912,11791_7#21,ERR439685,S,S,R,,S,S,S,I,S,S,S,S
ERS356918,11791_7#22,ERR439686,S,S,S,,S,S,S,S,S,S,S,S
ERS357041,11791_7#23,ERR439687,S,S,R,,S,S,S,S,S,S,R,S
ERS357055,11791_7#24,ERR439688,S,S,S,,S,S,S,S,S,S,S,S
ERS357057,11791_7#25,ERR439689,S,S,S,,S,S,S,S,S,S,S,S
ERS357060,11791_7#26,ERR439690,S,S,R,,S,S,S,I,S,S,R,S
ERS357062,11791_7#27,ERR439691,S,S,R,,S,S,R,R,S,S,S,S
ERS357064,11791_7#28,ERR439692,S,S,R,,R,R,S,R,S,S,S,S
ERS357065,11791_7#29,ERR439693,S,S,R,,S,S,S,S,S,S,S,R
ERS356754,11791_7#2,ERR439667,S,S,R,,R,S,S,I,S,R,R,R
ERS357066,11791_7#30,ERR439694,S,S,R,,S,S,S,I,S,S,R,S
ERS357069,11791_7#32,ERR439695,S,S,R,,S,S,S,S,S,S,R,S
ERS357073,11791_7#33,ERR439696,S,S,S,,S,S,S,I,S,S,S,S
ERS357079,11791_7#34,ERR439697,S,S,R,,R,R,S,R,S,S,S,S
ERS357087,11791_7#35,ERR439698,S,S,R,,S,S,S,S,S,S,R,R
ERS357105,11791_7#36,ERR439699,S,S,R,,S,S,S,I,S,S,S,S
ERS357216,11791_7#37,ERR439700,S,,,S,S,S,S,,R,,,S
ERS357218,11791_7#38,ERR439701,S,,,S,S,S,S,,S,,,S
ERS357224,11791_7#39,ERR439702,S,,,R,S,S,S,,S,,,S
ERS356761,11791_7#3,ERR439668,S,S,S,,S,S,S,S,S,S,S,S
ERS357233,11791_7#40,ERR439703,S,,,S,S,S,S,,S,,,S
ERS357234,11791_7#41,ERR439704,S,,,S,S,S,S,,S,,,S
ERS357238,11791_7#42,ERR439705,I,S,,R,R,I,R,,S,,,S
ERS357292,11791_7#44,ERR439706,S,S,,R,S,S,S,,S,,,S
ERS357401,11791_7#45,ERR439707,S,S,,S,S,S,S,,S,,,S
ERS357410,11791_7#46,ERR439708,S,S,,S,S,S,S,,S,,,S
ERS357413,11791_7#47,ERR439709,S,S,,R,R,R,S,,S,,,R
ERS357417,11791_7#48,ERR439710,S,S,,S,S,S,S,,S,,,S
ERS357429,11791_7#49,ERR439711,S,S,,R,R,R,S,,R,,,R
ERS356767,11791_7#4,ERR439669,S,S,S,,S,S,S,S,S,S,S,S
ERS357433,11791_7#50,ERR439712,S,S,,S,S,S,R,,S,,,R
ERS357438,11791_7#51,ERR439713,S,S,,R,S,S,S,,S,,,S
ERS357450,11791_7#52,ERR439714,S,S,,S,S,I,S,,S,,,R
ERS357459,11791_7#53,ERR439715,S,S,,R,S,I,S,,S,,,S
ERS357461,11791_7#54,ERR439716,S,S,,S,S,S,S,,S,,,S
ERS357482,11791_7#55,ERR439717,R,R,,R,R,R,R,,S,,,R
ERS357499,11791_7#56,ERR439718,S,S,,R,R,R,S,,S,,,S
ERS357511,11791_7#57,ERR439719,S,S,,R,R,S,S,,S,,,S
ERS357537,11791_7#58,ERR439720,S,S,,R,S,S,R,,S,,,S
ERS357540,11791_7#59,ERR439721,S,S,,R,R,R,R,,S,,,R
ERS356768,11791_7#5,ERR439670,S,S,R,,S,S,S,I,R,R,R,R
ERS357552,11791_7#60,ERR439722,R,R,,R,R,S,R,,R,,,R
ERS357554,11791_7#61,ERR439723,S,S,,S,S,S,S,,S,,,S
ERS357564,11791_7#62,ERR439724,S,S,,S,S,S,S,,S,,,S
ERS357878,11791_7#63,ERR439725,S,S,,S,S,S,S,,S,,,S
ERS357902,11791_7#64,ERR439726,S,S,,R,S,S,S,,S,,,S
ERS358012,11791_7#65,ERR439727,S,S,,R,R,S,S,,S,,,S
ERS358028,11791_7#66,ERR439728,S,S,,R,R,R,S,,R,,,R
ERS358035,11791_7#67,ERR439729,S,S,,R,S,S,R,,S,,,S
ERS358079,11791_7#68,ERR439730,S,S,,S,S,S,S,,S,,,S
ERS358105,11791_7#69,ERR439731,S,S,,S,S,S,S,,S,,,S
ERS356770,11791_7#6,ERR439671,S,S,R,,R,R,R,R,S,R,R,R
ERS358223,11791_7#70,ERR439732,S,S,,S,S,S,S,,S,,,S
ERS356790,11791_7#7,ERR439672,R,R,R,,S,S,R,R,S,S,S,R
ERS356798,11791_7#9,ERR439673,S,S,S,,S,S,S,I,S,S,S,S
ERS357622,11893_8#71,ERR460494,S,S,,S,S,S,S,,S,,,S
ERS379216,12045_3#57,ERR485890,S,S,,S,S,S,S,,S,,,I
ERS379217,12045_3#58,ERR485891,S,S,,R,R,S,R,,S,,,S
ERS379218,12045_3#59,ERR485892,S,S,,R,R,S,R,,S,,,R
ERS379219,12045_3#60,ERR485893,S,S,,S,S,S,S,,S,,,S
ERS379220,12045_3#61,ERR485894,S,S,,R,S,S,S,,S,,,S
ERS379221,12045_3#62,ERR485895,S,S,,R,S,S,S,,S,,,S
ERS379222,12045_3#63,ERR485896,S,S,,R,S,S,S,,S,,,S
ERS379223,12045_3#64,ERR485897,S,S,,R,R,S,S,,S,,,S
ERS379224,12045_3#65,ERR485898,S,S,,S,S,S,S,,S,,,S
ERS379225,12045_3#66,ERR485899,S,S,,R,R,S,S,,S,,,S
ERS379226,12045_3#67,ERR485900,S,S,,S,S,S,S,,S,,,S
ERS838778,18090_6#33,ERR1218534,R,R,R,,R,R,R,R,S,S,R,I
ERS838795,18090_6#34,ERR1218535,S,R,R,,R,S,R,R,R,R,R,R
ERS838804,18090_6#35,ERR1218536,S,R,R,,S,S,R,R,R,R,S,R
ERS838810,18090_6#36,ERR1218537,S,R,R,,S,S,R,R,R,R,R,S
ERS838812,18090_6#37,ERR1218538,R,R,R,,R,S,R,R,R,I,S,R
ERS838816,18090_6#38,ERR1218539,I,R,R,,R,S,R,R,S,S,R,S
ERS838819,18090_6#39,ERR1218540,R,R,R,,R,R,R,R,R,R,R,R
ERS838833,18090_6#40,ERR1218541,S,R,R,,S,S,R,R,I,S,S,R
ERS838837,18090_6#41,ERR1218542,I,R,R,,S,S,R,R,S,S,R,R
ERS838844,18090_6#42,ERR1218543,I,R,R,,S,S,R,R,S,S,S,R
ERS838862,18090_6#43,ERR1218544,S,R,R,,S,S,R,R,R,R,R,R
ERS838866,18090_6#44,ERR1218545,S,R,R,,S,S,R,R,R,R,R,R
ERS838891,18090_6#45,ERR1218546,R,R,R,,R,R,R,R,R,R,R,R
ERS838904,18090_6#48,ERR1218549,S,R,R,,R,S,R,R,R,S,S,S
ERS838906,18090_6#50,ERR1218551,I,R,R,,R,S,R,R,R,R,R,S
ERS838909,18090_6#51,ERR1218552,R,R,R,,R,S,R,R,R,R,R,R
ERS838911,18090_6#52,ERR1218553,S,R,R,,S,S,R,R,R,R,R,R
ERS838851,18090_6#53,ERR1218554,I,R,R,,S,S,R,R,R,R,R,S
ERS838922,18090_6#55,ERR1218556,R,R,R,,S,S,R,R,R,R,R,R
ERS838932,18090_6#56,ERR1218557,I,R,R,,S,S,R,R,R,R,R,S
ERS838948,18090_6#57,ERR1218558,R,R,R,,S,S,R,R,S,S,R,R
ERS838967,18090_6#58,ERR1218559,R,R,R,,S,S,R,R,R,R,R,R
ERS838979,18090_6#59,ERR1218560,R,R,R,,R,S,R,R,R,R,R,R
ERS838996,18090_6#60,ERR1218561,R,R,R,,S,S,R,R,S,S,S,S
ERS839004,18090_6#61,ERR1218562,R,R,R,,S,S,R,R,R,R,S,S
ERS839018,18090_6#63,ERR1218564,I,R,R,,S,S,R,R,R,R,R,R
ERS838773,18090_6#80,ERR1218581,R,R,R,,S,S,R,R,R,R,R,R
ERS838774,18090_6#81,ERR1218582,I,R,R,,S,S,R,R,S,S,R,R
ERS838775,18090_6#82,ERR1218583,R,R,R,,R,S,R,R,R,R,R,I
ERS838776,18090_6#83,ERR1218584,R,R,R,,S,S,R,R,S,R,S,S
ERS838777,18090_6#84,ERR1218585,I,R,R,,S,S,R,R,R,R,R,R
ERS838779,18090_6#85,ERR1218586,R,R,R,,R,R,R,R,S,R,R,R
ERS838780,18090_6#86,ERR1218587,R,R,R,,R,S,R,R,R,R,R,S
ERS838781,18090_6#87,ERR1218588,R,R,R,,R,R,R,R,S,S,R,R
ERS838782,18090_6#88,ERR1218589,S,R,R,,R,S,R,R,R,R,R,R
ERS838783,18090_6#89,ERR1218590,R,R,R,,R,S,R,R,R,R,R,R
ERS838784,18090_6#90,ERR1218591,S,R,R,,S,S,R,R,R,R,S,S
ERS838785,18090_6#91,ERR1218592,S,R,R,,R,S,R,R,R,I,S,R
ERS838786,18090_6#92,ERR1218593,R,R,R,,S,S,R,R,R,R,R,I
ERS838787,18090_6#93,ERR1218594,S,R,R,,R,S,R,R,R,R,R,R
ERS838788,18090_6#94,ERR1218595,I,R,R,,R,S,R,R,R,I,R,S
ERS838791,18090_6#95,ERR1218596,R,R,R,,S,S,R,R,R,R,S,I
ERS838823,18090_7#10,ERR1218606,S,R,R,,R,S,R,R,R,R,S,R
ERS838825,18090_7#11,ERR1218607,I,R,R,,R,S,R,R,R,R,R,R
ERS838827,18090_7#12,ERR1218608,R,R,R,,S,S,R,R,R,R,R,R
ERS838829,18090_7#13,ERR1218609,R,R,R,,R,R,R,R,R,R,R,R
ERS838831,18090_7#14,ERR1218610,R,R,R,,S,S,R,R,R,R,S,R
ERS838835,18090_7#15,ERR1218611,R,R,R,,R,S,R,R,R,R,R,R
ERS838839,18090_7#16,ERR1218612,R,R,R,,R,R,R,R,R,R,R,R
ERS838841,18090_7#17,ERR1218613,I,R,R,,S,S,R,R,R,R,R,R
ERS838842,18090_7#18,ERR1218614,R,R,R,,S,S,R,R,S,S,R,S
ERS838846,18090_7#19,ERR1218615,R,R,R,,S,S,R,R,R,I,S,S
ERS838793,18090_7#1,ERR1218597,R,R,R,,R,S,R,R,R,R,R,R
ERS838848,18090_7#20,ERR1218616,S,R,R,,R,S,R,R,R,R,R,R
ERS838850,18090_7#21,ERR1218617,R,R,R,,R,S,R,R,R,R,R,R
ERS838853,18090_7#22,ERR1218618,I,R,R,,S,S,R,R,R,R,R,R
ERS838855,18090_7#23,ERR1218619,S,R,R,,R,S,R,R,R,R,S,I
ERS838858,18090_7#24,ERR1218620,I,R,R,,S,S,R,R,R,R,R,R
ERS838860,18090_7#25,ERR1218621,R,R,R,,R,S,R,R,R,R,R,R
ERS838864,18090_7#26,ERR1218622,S,R,R,,S,S,R,R,R,R,R,R
ERS838868,18090_7#27,ERR1218623,R,R,R,,S,S,R,R,S,S,S,R
ERS838870,18090_7#28,ERR1218624,I,R,R,,S,S,R,R,R,R,R,S
ERS838872,18090_7#29,ERR1218625,I,R,R,,S,S,R,R,S,S,S,R
ERS838797,18090_7#2,ERR1218598,R,R,R,,R,R,R,R,S,S,S,R
ERS838874,18090_7#30,ERR1218626,R,R,R,,S,S,R,R,S,S,R,R
ERS838876,18090_7#31,ERR1218627,R,R,R,,R,R,R,R,R,R,S,R
ERS838878,18090_7#32,ERR1218628,I,R,R,,S,S,R,R,S,S,S,S
ERS838880,18090_7#33,ERR1218629,R,R,R,,S,S,R,R,R,R,R,R
ERS838882,18090_7#34,ERR1218630,R,R,R,,R,S,R,R,R,R,S,R
ERS838884,18090_7#35,ERR1218631,I,R,R,,S,S,R,R,R,S,R,S
ERS838886,18090_7#36,ERR1218632,S,R,R,,S,S,R,R,R,R,R,R
ERS838888,18090_7#37,ERR1218633,S,R,R,,R,S,R,R,R,R,R,R
ERS838889,18090_7#38,ERR1218634,I,R,R,,R,S,R,R,R,R,R,R
ERS838890,18090_7#39,ERR1218635,R,R,R,,S,S,R,R,R,R,R,R
ERS838799,18090_7#3,ERR1218599,I,R,R,,S,S,R,R,R,R,R,R
ERS838892,18090_7#40,ERR1218636,I,R,R,,R,S,R,R,R,R,S,R
ERS838893,18090_7#41,ERR1218637,I,R,R,,S,S,R,R,S,S,R,R
ERS838895,18090_7#43,ERR1218639,R,R,R,,S,S,R,R,R,R,R,S
ERS838896,18090_7#44,ERR1218640,R,R,R,,S,S,R,R,R,R,S,S
ERS838897,18090_7#45,ERR1218641,R,R,R,,R,S,R,R,R,R,S,S
ERS838898,18090_7#46,ERR1218642,R,R,R,,S,S,R,R,R,R,R,S
ERS838901,18090_7#47,ERR1218643,S,R,R,,R,S,R,R,R,R,S,I
ERS838902,18090_7#48,ERR1218644,S,R,R,,S,S,R,R,S,S,R,R
ERS838801,18090_7#4,ERR1218600,R,R,R,,R,S,R,R,S,R,R,R
ERS838907,18090_7#50,ERR1218646,R,R,R,,S,S,R,R,R,R,R,R
ERS838910,18090_7#52,ERR1218648,S,R,R,,S,S,R,R,R,R,S,S
ERS838912,18090_7#53,ERR1218649,S,R,R,,S,S,R,R,R,I,R,I
ERS838913,18090_7#54,ERR1218650,S,R,R,,S,S,R,R,R,I,R,R
ERS838914,18090_7#55,ERR1218651,R,R,R,,S,S,R,R,R,R,S,R
ERS838915,18090_7#56,ERR1218652,I,R,R,,S,S,R,R,R,R,R,S
ERS838917,18090_7#58,ERR1218654,S,R,R,,R,S,R,R,R,R,R,R
ERS838918,18090_7#59,ERR1218655,R,R,R,,S,S,R,R,R,R,R,R
ERS838805,18090_7#5,ERR1218601,S,R,R,,R,S,R,R,R,R,S,R
ERS838789,18090_7#60,ERR1218656,R,R,R,,R,S,R,R,R,R,R,S
ERS838792,18090_7#62,ERR1218658,I,R,R,,S,S,R,R,S,S,R,I
ERS838794,18090_7#63,ERR1218659,I,R,R,,S,S,R,R,R,R,R,S
ERS838796,18090_7#64,ERR1218660,S,R,R,,S,S,R,R,S,S,R,S
ERS838798,18090_7#65,ERR1218661,I,R,R,,R,S,R,R,R,R,R,R
ERS838800,18090_7#66,ERR1218662,I,R,R,,S,S,R,R,S,S,R,R
ERS838802,18090_7#67,ERR1218663,S,R,R,,S,S,R,R,R,R,S,R
ERS838803,18090_7#68,ERR1218664,R,R,R,,S,S,R,R,R,R,R,S
ERS838808,18090_7#6,ERR1218602,R,R,R,,S,S,R,R,R,R,S,R
ERS838807,18090_7#70,ERR1218666,I,R,R,,S,S,R,R,S,S,S,S
ERS838813,18090_7#73,ERR1218669,R,R,R,,S,S,R,R,R,R,R,S
ERS838817,18090_7#75,ERR1218671,R,R,R,,S,S,R,R,S,S,S,S
ERS838824,18090_7#78,ERR1218674,R,R,R,,R,S,R,R,R,R,R,S
ERS838826,18090_7#79,ERR1218675,I,R,R,,R,S,R,R,S,S,S,R
ERS838814,18090_7#7,ERR1218603,I,R,R,,S,S,R,R,S,S,R,R
ERS838828,18090_7#80,ERR1218676,R,R,R,,S,S,R,R,R,R,R,S
ERS838832,18090_7#82,ERR1218678,I,R,R,,S,S,R,R,S,S,S,S
ERS838838,18090_7#85,ERR1218681,S,R,R,,S,S,R,R,R,R,S,S
ERS838840,18090_7#86,ERR1218682,R,R,R,,S,S,R,R,S,S,R,R
ERS838843,18090_7#87,ERR1218683,S,R,R,,R,S,R,R,R,R,R,S
ERS838845,18090_7#88,ERR1218684,S,R,R,,R,S,R,R,R,R,R,R
ERS838847,18090_7#89,ERR1218685,S,R,R,,R,S,R,R,R,R,S,S
ERS838818,18090_7#8,ERR1218604,R,R,R,,S,S,R,R,R,R,S,R
ERS838849,18090_7#90,ERR1218686,I,R,R,,S,S,R,R,R,R,S,S
ERS838854,18090_7#92,ERR1218688,R,R,R,,S,S,R,R,R,I,S,I
ERS838856,18090_7#93,ERR1218689,R,R,R,,S,S,R,R,S,S,R,R
ERS838857,18090_7#94,ERR1218690,R,R,R,,R,R,R,R,R,R,R,R
ERS838821,18090_7#9,ERR1218605,R,R,R,,R,S,R,R,R,R,R,R
ERS838879,18090_8#11,ERR1218701,R,R,R,,S,S,R,R,R,R,R,R
ERS838881,18090_8#12,ERR1218702,S,R,R,,S,S,R,R,R,I,R,S
ERS838883,18090_8#13,ERR1218703,R,R,R,,S,S,R,R,R,R,S,S
ERS838920,18090_8#15,ERR1218705,R,R,R,,R,R,R,R,R,R,R,R
ERS838924,18090_8#16,ERR1218706,I,R,R,,S,S,R,R,S,S,S,S
ERS838925,18090_8#17,ERR1218707,R,R,R,,S,S,R,R,R,R,R,R
ERS838930,18090_8#18,ERR1218708,R,R,R,,S,S,R,R,R,R,R,R
ERS838942,18090_8#19,ERR1218709,S,R,R,,S,S,R,R,R,R,R,S
ERS838946,18090_8#20,ERR1218710,S,R,R,,S,S,R,R,R,R,R,I
ERS838954,18090_8#21,ERR1218711,S,R,R,,R,S,R,R,R,R,R,S
ERS838970,18090_8#22,ERR1218712,R,R,R,,S,S,R,R,R,R,R,R
ERS838973,18090_8#23,ERR1218713,R,R,R,,S,S,R,R,R,R,R,R
ERS838982,18090_8#24,ERR1218714,R,R,R,,S,S,R,R,R,R,R,R
ERS838984,18090_8#25,ERR1218715,S,R,R,,S,S,R,R,R,R,S,R
ERS838992,18090_8#26,ERR1218716,I,R,R,,R,S,R,R,R,I,I,R
ERS838998,18090_8#27,ERR1218717,R,R,R,,R,S,R,R,R,R,R,S
ERS839000,18090_8#28,ERR1218718,R,R,R,,R,S,R,R,S,R,R,R
ERS839002,18090_8#29,ERR1218719,S,R,R,,S,S,R,R,R,R,R,R
ERS838861,18090_8#2,ERR1218692,S,R,R,,S,S,R,R,S,S,R,R
ERS839005,18090_8#30,ERR1218720,S,R,R,,S,S,R,R,R,R,R,S
ERS839020,18090_8#33,ERR1218723,S,R,R,,R,S,R,R,R,R,S,S
ERS838863,18090_8#3,ERR1218693,R,R,R,,R,R,R,R,I,R,R,R
ERS838865,18090_8#4,ERR1218694,I,R,R,,S,S,R,R,R,R,S,R
ERS838867,18090_8#5,ERR1218695,S,R,R,,S,S,R,R,R,S,S,S
ERS838869,18090_8#6,ERR1218696,S,R,R,,S,S,R,R,S,S,S,S
ERS838871,18090_8#7,ERR1218697,S,R,R,,S,S,R,R,R,R,R,R
ERS839037,18090_8#84,ERR1218774,I,R,R,,S,S,R,R,S,S,S,S
ERS838873,18090_8#8,ERR1218698,R,R,R,,S,S,R,R,R,I,R,R
