Isolate,Year,CTZ,CTX,AMP,AMX,AMC,TZP,CXM,CET,GEN,TBM,TMP,CIP,ST
11658_4#1,2006.0,S,S,S,,S,S,R,S,S,S,S,S,135
11657_5#1,2006.0,S,S,R,,R,S,S,S,S,S,R,R,10
11658_4#2,2006.0,S,S,S,,S,S,S,S,S,S,S,S,127
11658_5#1,2006.0,S,S,R,,S,S,S,S,S,S,R,R,10
11658_5#2,2007.0,S,R,R,,R,S,R,R,S,R,R,R,131
11658_6#1,2007.0,S,S,S,,S,S,S,S,S,S,S,S,95
11658_5#3,2007.0,S,S,R,,S,S,S,S,S,S,R,R,648
11658_4#3,2007.0,S,S,R,,R,R,S,S,S,S,R,S,69
11658_5#4,2007.0,S,S,R,,R,S,S,S,S,S,R,S,5375
11657_5#2,2007.0,S,S,R,,S,S,S,S,S,S,R,S,95
11658_6#2,2007.0,S,S,S,,S,S,S,S,S,S,S,S,5561
11658_6#3,2007.0,S,S,S,,S,S,S,S,S,S,S,S,127
11658_5#5,2007.0,S,S,R,,R,S,S,S,S,S,R,R,131
11791_7#1,2007.0,S,S,R,,R,R,S,S,S,S,S,S,73
11791_7#2,2007.0,S,S,R,,R,S,S,S,S,R,R,R,131
11657_5#3,2007.0,S,S,R,,R,S,R,S,S,S,R,S,73
11658_6#4,2007.0,S,S,S,,S,S,S,S,S,S,S,S,5546
11791_6#1,2007.0,S,S,R,,S,S,S,S,R,S,S,S,131
11658_6#5,2007.0,S,S,S,,S,S,S,S,S,S,S,S,73
11658_7#1,2007.0,S,S,R,,S,S,S,S,S,S,R,S,95
11658_8#24,2007.0,S,S,S,,S,S,S,S,S,S,S,S,12
11791_7#3,2007.0,S,S,S,,S,S,S,S,S,S,S,S,93
11658_5#6,2007.0,S,S,S,,S,S,S,S,S,S,S,S,95
11658_5#7,2007.0,S,S,S,,S,S,S,S,S,S,S,S,12
11658_5#8,2007.0,S,S,S,,S,S,S,S,S,S,S,S,62
11658_4#4,2007.0,S,S,S,,S,S,S,S,S,S,S,S,635
11658_4#5,2007.0,S,S,R,,S,S,S,S,S,S,S,S,95
11791_7#4,2007.0,S,S,S,,S,S,S,S,S,S,S,S,73
11791_7#5,2007.0,S,S,R,,S,S,S,S,R,R,R,R,131
11658_5#9,2007.0,S,S,S,,S,S,S,S,S,S,S,S,88
11791_7#6,2007.0,S,S,R,,R,R,R,R,S,R,R,R,648
11657_5#4,2007.0,S,S,S,,S,,S,S,S,S,S,S,5338
11657_6#1,2007.0,S,S,R,,S,S,S,S,S,S,R,R,453
11658_5#10,2007.0,S,S,R,,R,S,S,S,S,S,R,S,69
11658_7#2,2007.0,S,S,R,,S,S,S,S,S,S,S,S,23
11658_5#11,2007.0,S,S,R,,R,S,S,S,R,S,R,R,131
11658_7#3,2007.0,S,S,R,,S,S,S,S,S,S,R,S,69
11658_7#4,2007.0,S,S,R,,S,S,S,S,S,S,S,S,405
11658_8#25,2007.0,S,S,S,,S,S,S,S,S,S,S,S,136
11658_6#6,2007.0,S,S,R,,S,S,S,S,S,S,S,S,80
11658_7#5,2007.0,S,S,S,,S,S,S,S,S,S,S,S,73
11658_6#7,2007.0,S,S,S,,S,S,S,S,S,S,R,S,1148
11658_8#26,2007.0,S,S,R,,S,S,S,S,S,S,R,R,69
11658_5#12,2007.0,S,S,R,,R,S,S,S,S,S,S,S,73
11658_6#8,2007.0,S,S,R,,R,S,S,S,S,S,S,S,73
11658_5#13,2007.0,S,S,S,,S,S,S,S,S,S,S,S,69
11658_6#9,2007.0,S,S,R,,R,S,S,S,S,S,S,S,73
11658_5#14,2007.0,S,S,R,,S,S,S,S,S,S,S,R,131
11657_5#5,2007.0,S,S,R,,S,S,S,S,R,R,R,S,453
11658_3#1,2007.0,S,S,S,,S,S,S,S,S,S,S,S,2015
11791_7#7,2007.0,R,R,R,,S,S,R,R,S,S,S,R,131
11658_6#10,2007.0,R,R,R,,R,S,R,R,S,R,R,R,131
11658_6#11,2007.0,S,S,R,,R,S,S,S,S,S,R,S,88
11679_4#1,2007.0,S,R,R,,R,S,R,R,S,S,R,R,648
11658_6#12,2007.0,S,S,S,,S,S,S,S,S,S,S,S,59
11658_8#27,2007.0,S,S,S,,S,S,S,S,S,S,R,R,131
11791_6#2,2008.0,S,S,S,,S,S,S,S,S,S,R,R,69
11658_7#6,2008.0,S,S,R,,S,S,S,S,S,S,R,S,69
11791_7#9,2008.0,S,S,S,,S,S,S,S,S,S,S,S,1485
11791_7#10,2008.0,S,S,S,,S,S,S,S,S,S,S,S,357
11658_7#7,2008.0,R,R,R,,S,S,R,R,S,S,R,R,131
11658_5#15,2008.0,S,S,S,,S,S,S,S,S,S,S,S,73
11791_7#11,2008.0,S,S,R,,S,S,S,S,S,S,S,S,95
11791_7#12,2008.0,S,S,S,,S,S,S,S,S,S,S,S,73
11658_4#6,2008.0,S,S,S,,S,S,S,S,S,S,S,S,538
11658_6#13,2008.0,S,R,R,,R,S,R,R,S,R,R,R,131
11657_6#2,2008.0,S,S,S,,S,S,S,S,S,S,S,S,95
11658_6#14,2008.0,S,S,S,,S,S,S,S,S,S,R,R,1594
11658_6#15,2008.0,S,S,R,,S,S,S,S,S,S,R,R,115
11658_8#28,2008.0,S,S,S,,S,S,S,S,S,S,S,S,73
11658_8#29,2008.0,S,S,S,,S,S,S,S,S,S,S,S,46
11658_7#8,2008.0,S,S,R,,R,S,S,S,R,R,R,R,131
11658_5#16,2008.0,S,S,R,,S,S,S,S,S,S,S,S,73
11658_6#16,2008.0,R,R,R,,R,S,R,R,S,S,R,R,88
11658_7#9,2008.0,S,S,S,,S,S,S,S,S,S,S,S,73
11658_8#30,2008.0,R,R,R,,R,S,R,R,R,R,S,R,648
11658_8#31,2008.0,S,S,S,,S,S,S,S,S,S,S,S,73
11791_7#13,2008.0,S,S,R,,R,R,S,S,S,S,S,S,73
11791_7#14,2008.0,S,S,S,,S,S,S,S,S,S,S,S,73
11658_7#10,2008.0,S,S,S,,S,S,S,S,S,S,S,S,405
11658_6#17,2008.0,S,S,R,,S,S,S,S,S,S,R,S,69
11791_7#15,2008.0,S,S,S,,S,S,S,S,S,S,S,S,95
11658_5#17,2008.0,S,S,S,,S,S,S,S,S,S,S,S,14
11658_5#18,2008.0,S,S,S,,S,S,S,S,S,S,S,S,10
11658_7#11,2008.0,S,S,R,,R,S,S,S,S,S,S,S,404
11658_6#18,2008.0,S,S,S,,S,S,S,S,S,S,S,S,80
11658_4#7,2008.0,S,S,S,,S,S,S,S,S,S,S,S,131
11658_6#19,2008.0,S,S,R,,S,S,S,S,S,S,S,S,69
11791_6#3,2008.0,S,S,R,,S,S,S,S,S,S,R,S,69
11658_6#20,2008.0,S,S,S,,S,S,S,S,S,S,S,S,14
11658_5#19,2008.0,S,R,R,,R,S,R,R,S,R,R,R,131
11658_4#8,2008.0,S,S,R,,S,S,S,S,S,S,S,S,73
11658_8#32,2008.0,S,S,R,,S,S,S,S,S,S,R,S,405
11658_7#13,2008.0,S,S,R,,R,R,R,S,S,S,R,S,349
11658_4#9,2008.0,S,S,S,,S,S,S,S,S,S,S,S,2773
11657_6#3,2008.0,S,S,S,,S,S,S,S,S,S,S,S,73
11679_5#1,2008.0,S,S,R,,S,S,S,S,S,S,S,S,144
11658_5#20,2008.0,S,S,R,,S,S,S,S,S,S,S,S,73
11658_5#21,2008.0,S,S,S,,S,S,S,S,S,S,S,S,127
11658_5#22,2008.0,S,S,R,,R,S,S,S,S,S,R,R,393
11658_5#23,2008.0,S,S,R,,S,S,S,S,S,S,S,S,73
11658_8#33,2008.0,R,R,R,,S,S,R,R,S,S,S,S,963
11658_8#34,2008.0,S,S,S,,S,S,S,S,S,S,S,S,73
11657_6#4,2008.0,S,S,R,,S,S,S,S,S,S,R,R,1431
11658_5#25,2008.0,S,S,S,,S,S,S,S,S,S,S,S,144
11658_4#10,2008.0,S,S,S,,S,S,S,S,S,S,S,S,127
11658_6#21,2008.0,S,S,R,,S,S,S,S,S,S,S,S,404
11658_7#14,2008.0,S,R,R,,R,S,R,R,S,S,S,S,12
11658_5#26,2008.0,R,R,R,,R,S,R,R,S,R,R,R,131
11658_5#27,2008.0,S,S,R,,R,S,R,R,S,S,S,S,73
11791_6#4,2008.0,S,S,R,,S,S,S,S,S,S,R,S,95
11658_7#15,2009.0,S,S,R,,R,S,R,S,S,R,R,R,131
11791_6#5,2009.0,S,S,R,,R,S,S,S,S,S,S,S,104
11658_5#28,2009.0,S,R,R,,R,S,R,R,S,R,R,R,131
11791_7#16,2009.0,S,S,S,,S,S,S,S,S,S,S,S,101
11658_6#22,2009.0,R,R,R,,R,S,R,R,S,S,S,S,131
11658_4#11,2009.0,S,S,R,,R,S,S,S,S,S,R,S,69
11658_5#29,2009.0,S,S,R,,R,R,S,S,S,S,S,S,73
11658_4#12,2009.0,S,S,R,,R,S,S,S,S,S,R,S,69
11658_4#13,2009.0,S,R,R,,S,S,R,R,S,S,R,S,117
11658_6#23,2009.0,S,S,R,,R,S,S,S,S,S,S,S,69
11658_4#14,2009.0,S,S,S,,S,S,S,S,S,S,S,S,59
11658_5#30,2009.0,S,S,R,,R,S,S,R,S,S,S,S,95
11658_7#16,2009.0,R,S,R,,S,S,S,R,S,S,R,R,131
11658_8#35,2009.0,S,S,R,,R,S,S,S,S,S,R,S,73
11658_5#31,2009.0,S,S,S,,S,S,S,S,S,S,S,S,12
11791_7#17,2009.0,S,S,R,,R,R,S,S,S,S,R,S,10
11658_7#17,2009.0,S,S,S,,S,S,S,S,S,S,S,S,131
11791_7#18,2009.0,S,S,R,,R,S,S,S,S,S,S,S,95
11657_6#5,2009.0,S,S,S,,S,S,S,S,S,S,S,S,5663
11658_4#15,2009.0,S,S,S,,S,S,S,S,S,S,S,S,5484
11657_5#6,2009.0,S,S,R,,R,,R,R,S,R,R,R,73
11657_6#6,2009.0,S,S,R,,S,S,S,S,S,S,S,S,95
11658_5#32,2009.0,S,S,R,,S,S,S,S,S,S,S,S,131
11658_6#24,2009.0,S,S,R,,R,S,R,S,S,S,R,S,405
11658_7#18,2009.0,S,S,S,,S,S,S,S,S,S,S,S,95
11658_5#33,2009.0,S,S,R,,R,S,S,S,S,S,S,S,95
11657_5#7,2009.0,S,S,R,,S,S,S,S,S,S,S,R,131
11658_4#16,2009.0,S,S,R,,S,S,S,S,S,S,R,S,95
11791_6#6,2009.0,S,S,R,,R,S,S,S,S,S,R,S,5606
11791_7#19,2009.0,S,S,S,,S,S,S,S,S,S,S,S,73
11658_8#36,2009.0,S,S,R,,R,S,R,S,S,S,S,S,127
11658_5#34,2009.0,S,S,S,,S,S,S,S,S,S,R,S,144
11658_5#35,2009.0,S,S,S,,S,S,S,S,S,S,S,S,80
11658_6#25,2009.0,S,S,R,,R,S,R,R,S,S,S,S,73
11658_6#26,2009.0,S,S,S,,S,S,S,S,S,S,S,S,95
11658_7#19,2009.0,S,S,S,,S,S,S,S,S,S,S,S,73
11658_6#27,2009.0,S,S,S,,S,S,S,S,S,S,S,S,12
11658_8#37,2009.0,S,S,S,,S,S,S,S,S,S,S,S,390
11658_6#28,2009.0,S,S,R,,S,S,S,S,S,S,S,S,127
11658_4#17,2009.0,S,S,S,,S,S,S,S,S,S,S,S,62
11658_5#36,2009.0,S,S,R,,R,R,S,S,S,S,S,S,5253
11658_5#37,2009.0,S,S,S,,S,S,S,S,S,S,S,S,357
11658_8#38,2009.0,S,S,R,,R,S,S,S,S,S,R,S,73
11657_5#8,2009.0,S,S,R,,R,S,R,S,R,R,S,R,5387
11658_8#39,2009.0,S,S,R,,S,S,S,S,S,S,R,R,393
11658_6#29,2009.0,S,S,R,,S,R,S,S,S,S,S,S,625
11791_7#20,2009.0,S,S,S,,S,S,S,S,S,S,S,S,95
11658_5#38,2009.0,S,S,R,,R,S,R,R,S,S,R,R,393
11679_6#1,2009.0,S,S,R,,R,R,S,S,S,S,R,S,73
11658_4#18,2009.0,S,R,R,,R,S,R,R,S,R,R,R,131
11658_7#20,2009.0,S,S,S,,S,S,S,S,S,S,S,S,569
11658_6#30,2009.0,S,S,S,,S,S,S,S,S,S,S,S,428
11657_5#9,2009.0,S,S,S,,S,S,S,S,S,S,S,S,2067
11658_4#19,2009.0,S,S,R,,R,R,R,S,S,S,S,S,73
11658_7#21,2009.0,S,S,R,,S,S,S,S,S,S,S,S,80
11658_7#22,2009.0,S,S,S,,S,S,S,S,S,S,S,S,73
11791_6#7,2009.0,S,S,R,,R,S,R,S,S,R,R,R,131
11658_7#23,2009.0,S,S,R,,R,S,R,R,R,R,R,R,131
11791_7#21,2009.0,S,S,R,,S,S,S,S,S,S,S,S,131
11658_8#40,2009.0,S,S,S,,S,S,S,S,S,S,S,S,5430
11658_6#31,2009.0,S,S,S,,S,S,S,S,S,S,S,S,5629
11658_5#40,2009.0,S,S,S,,S,S,S,S,S,S,S,S,88
11658_5#41,2009.0,S,S,S,,S,S,S,S,S,S,R,R,131
11658_6#32,2009.0,S,S,S,,S,S,S,S,S,S,R,R,69
11791_7#22,2009.0,S,S,S,,S,S,S,S,S,S,S,S,73
11658_8#41,2009.0,S,S,S,,S,S,S,S,S,S,S,S,95
11658_8#42,2009.0,S,S,R,,S,S,S,S,S,S,R,S,372
11658_6#33,2009.0,S,S,S,,S,S,S,S,S,S,S,S,73
11658_7#24,2009.0,S,S,R,,S,S,S,S,S,S,R,S,117
11658_7#25,2009.0,S,S,S,,S,S,S,S,S,S,S,S,5576
11657_7#1,2009.0,S,S,S,,S,S,S,S,S,S,S,S,73
11658_6#34,2010.0,S,S,S,,S,S,S,S,S,S,S,S,131
11658_7#26,2010.0,S,R,R,,R,S,R,R,S,R,R,R,131
11658_5#42,2010.0,S,S,R,,S,S,S,S,S,S,S,S,131
11658_8#43,2010.0,S,S,S,,S,S,S,S,S,S,S,S,73
11657_5#10,2010.0,S,S,S,,S,S,S,S,S,S,S,S,223
11679_4#2,2010.0,S,S,S,,S,S,S,S,S,S,S,S,73
11657_6#7,2010.0,S,S,S,,S,S,S,S,S,S,S,S,131
11679_7#1,2010.0,S,S,S,,S,S,S,S,S,S,S,S,95
11658_3#2,2010.0,S,S,R,,R,S,R,R,S,S,R,S,1722
11658_3#3,2010.0,S,S,R,,S,S,S,S,S,S,R,S,69
11657_5#11,2010.0,S,S,R,,R,S,S,S,S,S,R,R,131
11657_6#8,2010.0,S,S,S,,S,S,S,S,S,S,S,S,1618
11791_6#9,2010.0,S,S,S,,S,S,S,S,S,S,S,R,131
11657_5#12,2010.0,S,S,S,,S,S,S,S,S,S,S,S,73
11679_4#3,2010.0,S,S,S,,S,S,S,S,S,S,S,S,73
11657_6#9,2010.0,S,S,S,,S,S,S,S,S,S,S,S,357
11657_5#13,2010.0,S,S,R,,R,S,S,S,S,S,S,R,131
11657_6#10,2010.0,S,S,S,,S,S,S,S,S,S,S,S,144
11679_6#2,2010.0,S,S,S,,S,S,S,S,S,S,S,S,2967
11679_6#3,2010.0,S,S,S,,S,S,S,S,S,S,S,S,421
11679_5#2,2010.0,S,S,R,,R,S,R,S,S,S,R,R,131
11657_7#2,2010.0,S,S,R,,R,R,S,S,S,S,S,S,95
11658_3#4,2010.0,S,S,S,,S,S,S,S,S,S,S,R,131
11657_7#3,2010.0,S,S,S,,S,S,S,S,S,S,S,S,5308
11658_3#5,2010.0,S,S,R,,R,S,S,S,S,S,R,S,73
11657_6#11,2010.0,S,S,R,,R,S,R,R,R,R,R,S,131
11679_6#4,2010.0,S,S,S,,S,S,S,S,S,S,R,R,69
11679_8#1,2010.0,S,S,S,,S,S,S,S,S,S,S,S,131
11657_7#4,2010.0,S,S,R,,S,S,S,S,S,S,S,S,73
11657_7#5,2010.0,S,S,R,,R,S,S,S,S,S,R,S,38
11679_6#5,2010.0,S,S,R,,R,S,R,R,S,S,S,S,753
11657_6#12,2010.0,S,S,R,,S,S,S,S,S,S,R,S,10
11657_7#6,2010.0,S,S,S,,S,S,S,S,S,S,S,S,127
11679_4#4,2010.0,S,S,R,,S,S,S,S,S,S,S,R,131
11657_6#13,2010.0,S,S,R,,S,S,S,S,S,S,S,S,73
11679_7#2,2010.0,S,S,S,,S,S,S,S,S,S,S,S,420
11657_7#7,2010.0,S,S,R,,S,S,S,S,S,S,R,S,131
11657_7#8,2010.0,S,S,R,,S,S,S,S,S,S,S,S,5678
11679_4#5,2010.0,S,S,R,,S,S,S,S,S,S,R,R,95
11679_5#3,2010.0,S,S,S,,S,S,S,S,S,S,S,S,95
11657_6#14,2010.0,S,S,R,,R,R,S,S,R,S,R,R,131
11657_7#9,2010.0,S,S,R,,S,S,S,S,S,S,S,R,453
11657_5#14,2010.0,S,S,R,,S,S,S,S,S,S,R,S,69
11657_7#10,2010.0,S,S,R,,S,S,S,S,S,S,S,S,46
11657_6#15,2010.0,S,S,R,,S,S,S,S,S,S,S,S,357
11657_7#11,2010.0,S,S,R,,S,S,S,S,S,S,S,S,73
11657_7#12,2010.0,S,R,R,,R,S,R,R,R,R,R,R,131
11657_6#16,2010.0,S,S,R,,R,S,S,S,S,S,S,R,131
11679_4#6,2010.0,S,S,R,,S,S,S,S,S,S,S,S,141
11657_7#13,2010.0,S,S,S,,S,S,S,S,S,S,S,S,59
11679_8#2,2010.0,S,S,R,,S,S,S,S,S,S,S,S,69
11679_4#7,2010.0,S,S,S,,S,S,S,S,S,S,S,S,73
11658_3#6,2010.0,S,S,S,,S,S,S,S,S,S,S,S,442
11679_7#4,2010.0,S,S,R,,R,S,R,R,S,S,S,S,5328
11657_7#14,2010.0,S,S,S,,S,S,S,S,S,S,S,S,646
11657_7#15,2011.0,S,S,S,,S,S,S,S,S,S,S,S,550
11658_3#7,2011.0,S,S,S,,S,S,S,S,S,S,S,S,59
11679_8#3,2011.0,S,S,R,,R,S,R,R,S,S,S,S,538
11657_5#15,2011.0,S,S,S,,S,S,S,S,S,S,S,S,95
11679_7#5,2011.0,S,R,R,,R,S,R,R,S,R,R,R,131
11658_3#8,2011.0,S,S,S,,S,S,S,S,S,S,S,S,131
11657_7#16,2011.0,S,S,R,,S,S,S,S,S,S,S,S,95
11679_5#4,2011.0,S,S,R,,S,S,S,S,R,R,R,R,69
11679_7#6,2011.0,S,S,S,,S,S,S,S,S,S,S,S,95
11657_6#17,2011.0,S,S,S,,S,S,S,S,S,S,S,S,127
11679_8#4,2011.0,S,S,S,,S,S,S,S,S,S,S,S,5585
11658_3#9,2011.0,S,S,R,,S,S,S,S,S,S,R,S,69
11657_5#16,2011.0,S,S,R,,R,S,R,S,R,R,R,R,361
11658_3#10,2011.0,S,S,S,,S,S,R,S,S,S,S,S,357
11679_8#5,2011.0,S,S,S,,S,S,S,S,S,S,S,S,963
11679_4#8,2011.0,R,R,R,,R,R,R,R,S,R,R,R,131
11657_6#18,2011.0,S,S,R,,S,S,S,S,S,S,S,S,550
11679_5#5,2011.0,S,S,R,,R,S,S,S,S,S,S,S,73
11679_4#9,2011.0,S,S,R,,S,S,S,S,S,S,S,S,73
11657_7#17,2011.0,S,S,R,,S,S,S,S,S,S,S,S,73
11679_6#7,2011.0,S,S,R,,R,S,S,S,R,R,R,S,131
11657_6#19,2011.0,S,S,R,,R,S,S,S,S,S,S,S,73
11679_6#8,2011.0,S,S,R,,R,S,S,S,S,S,R,S,12
11679_6#9,2011.0,S,S,R,,S,S,S,S,S,S,R,S,69
11658_3#11,2011.0,S,S,R,,R,S,S,S,S,S,S,S,10
11658_3#12,2011.0,S,S,S,,S,S,S,S,S,S,S,S,976
11679_8#6,2011.0,S,S,R,,S,S,S,S,R,R,S,R,131
11679_7#8,2011.0,S,S,R,,S,S,S,S,S,S,R,R,131
11679_4#10,2011.0,S,S,R,,R,S,S,S,S,S,R,S,10
11679_6#10,2011.0,S,S,R,,S,S,S,S,S,S,R,S,69
11679_7#9,2011.0,S,S,R,,R,S,S,S,S,S,R,S,38
11679_6#11,2011.0,S,R,R,,S,S,R,R,S,S,S,S,4702
11657_7#18,2011.0,S,S,S,,S,S,S,S,S,S,S,S,28
11657_5#17,2011.0,S,S,S,,S,S,S,S,S,S,S,S,14
11657_5#18,2011.0,S,S,S,,S,S,S,S,S,S,S,S,428
11657_6#20,2011.0,R,R,R,,R,S,R,R,R,R,R,R,44
11657_7#19,2011.0,S,S,R,,S,S,S,S,S,S,S,S,93
11791_6#10,2011.0,S,S,R,,R,S,S,S,S,S,S,S,73
11679_4#11,2011.0,S,S,R,,S,S,S,S,S,S,R,S,95
11657_5#19,2011.0,S,S,S,,S,S,S,S,S,S,S,S,73
11657_6#21,2011.0,S,S,S,,S,S,S,S,S,S,S,S,95
11658_6#35,2010.0,S,S,S,,S,S,S,S,S,S,R,S,14
11658_6#36,2010.0,S,S,R,,R,R,S,S,S,S,R,S,540
11658_3#13,2010.0,S,S,R,,R,S,R,R,R,R,R,R,648
11658_4#20,2010.0,S,S,S,,S,S,S,S,S,S,S,S,95
11658_6#37,2010.0,S,S,S,,S,S,S,S,S,S,S,S,5351
11658_7#27,2010.0,S,S,R,,R,R,S,S,S,S,S,S,95
11679_4#12,2010.0,S,S,S,,S,S,S,S,S,S,S,S,73
11657_5#20,2010.0,S,S,R,,S,S,S,S,S,S,S,S,38
11679_6#12,2011.0,S,S,R,,R,S,S,S,S,S,R,S,1979
11658_5#43,2011.0,S,S,R,,R,S,S,S,S,S,S,S,998
11658_6#38,2011.0,S,S,R,,S,S,S,S,S,S,S,S,428
11658_5#44,2011.0,S,R,R,,R,S,R,R,R,R,S,R,131
11658_6#39,2011.0,S,S,R,,S,S,S,S,S,S,R,R,5640
11658_8#44,2011.0,S,S,S,,S,S,S,S,S,S,S,S,567
11658_7#28,2011.0,S,S,S,,S,S,S,S,S,S,S,S,5589
11679_8#7,2011.0,S,S,R,,S,S,S,S,S,S,R,R,95
11658_8#45,2011.0,S,S,R,,R,R,S,R,S,S,R,S,5593
11791_7#23,2011.0,S,S,R,,S,S,S,S,S,S,R,S,95
11658_5#45,2011.0,S,S,R,,R,S,S,S,S,S,R,R,1431
11658_5#46,2011.0,S,S,S,,S,S,S,S,S,S,S,S,12
11658_5#47,2011.0,S,S,S,,S,S,S,S,S,S,S,S,390
11658_8#46,2011.0,S,S,R,,R,S,S,S,S,S,S,S,95
11658_7#29,2011.0,S,S,R,,R,S,S,S,S,S,R,S,95
11658_8#47,2011.0,S,S,R,,S,S,S,S,S,S,S,S,95
11658_8#48,2011.0,S,S,S,,S,S,S,S,S,S,S,S,95
11658_8#49,2011.0,S,S,S,,S,S,S,S,S,S,S,S,569
11658_6#40,2011.0,S,S,S,,S,S,S,S,S,S,S,S,95
11658_6#41,2011.0,S,R,R,,S,S,R,R,S,S,S,R,131
11658_8#50,2011.0,S,S,R,,S,S,S,S,S,S,R,S,38
11658_6#42,2011.0,S,S,R,,R,S,S,S,S,S,S,S,69
11791_7#24,2012.0,S,S,S,,S,S,S,S,S,S,S,S,95
11658_8#51,2012.0,S,S,S,,S,S,S,S,S,S,S,S,405
11791_7#25,2012.0,S,S,S,,S,S,S,S,S,S,S,S,73
11658_6#43,2012.0,,,,,,,,,,,,,131
11679_6#13,2012.0,S,S,S,,S,S,S,S,S,S,S,S,357
11791_7#26,2012.0,S,S,R,,S,S,S,S,S,S,R,S,38
11658_6#44,2012.0,S,S,R,,S,S,S,S,S,S,R,S,5389
11791_7#27,2012.0,S,S,R,,S,S,R,R,S,S,S,S,547
