Isolate,Year,CTZ,CTX,AMP,AMX,AMC,TZP,CXM,CET,GEN,TBM,TMP,CIP,ST
11658_6#45,2012.0,S,S,R,,S,S,S,S,S,S,S,S,12
11791_7#28,2012.0,S,S,R,,R,R,S,R,S,S,S,S,73
11791_7#29,2012.0,S,S,R,,S,S,S,S,S,S,S,R,773
11791_7#30,2012.0,S,S,R,,S,S,S,S,S,S,R,S,58
11658_5#49,2012.0,S,S,R,,S,S,S,S,S,S,S,S,5520
11791_7#32,2012.0,S,S,R,,S,S,S,S,S,S,R,S,127
11658_8#52,2012.0,S,S,R,,R,R,S,S,S,S,S,S,38
11658_6#47,2012.0,S,S,R,,R,S,S,S,S,S,R,S,69
11658_8#53,2012.0,S,S,R,,S,S,S,S,S,S,R,S,14
11791_7#33,2012.0,S,S,S,,S,S,S,S,S,S,S,S,95
11658_7#30,2012.0,S,R,R,,R,S,R,R,R,R,R,R,131
11658_5#50,2012.0,S,S,R,,S,S,S,S,S,S,R,S,5494
11658_5#51,2012.0,S,S,R,,S,S,S,S,S,S,S,S,127
11658_6#48,2012.0,S,S,R,,S,S,S,S,S,S,S,S,59
11658_4#21,2012.0,S,S,R,,R,S,S,S,S,S,R,S,58
11791_7#34,2012.0,S,S,R,,R,R,S,R,S,S,S,S,73
11657_5#21,2012.0,S,S,S,,S,S,S,S,S,S,S,S,2526
11791_3#1,2012.0,S,S,R,,R,,S,R,S,S,S,R,12
11658_4#22,2012.0,S,S,S,,S,S,S,S,S,S,S,S,131
11658_5#52,2012.0,S,S,S,,S,S,S,R,S,S,S,S,973
11658_6#49,2012.0,S,R,R,,R,S,R,R,S,S,R,S,38
11658_7#31,2012.0,S,S,R,,S,S,S,S,S,S,R,R,393
11658_8#54,2012.0,S,S,R,,S,S,S,S,R,R,R,S,95
11791_7#35,2012.0,S,S,R,,S,S,S,S,S,S,R,R,95
11658_8#55,2012.0,R,R,R,,R,S,R,R,S,R,R,R,131
11658_6#50,2012.0,S,S,S,,S,S,S,S,S,S,R,S,73
11658_4#23,2012.0,S,S,R,,R,,S,S,S,S,S,R,448
11679_5#6,2012.0,S,S,R,,R,S,S,S,S,S,R,S,998
11791_3#2,2012.0,S,S,R,,S,S,S,S,S,S,R,S,69
11658_5#53,2012.0,S,S,S,,S,S,S,S,S,S,S,S,131
11658_6#52,2012.0,S,S,R,,S,S,S,S,S,S,R,S,58
11658_5#54,2012.0,S,S,S,,S,S,S,S,S,S,S,S,91
11658_5#55,2012.0,S,S,S,,S,S,S,S,S,S,S,S,127
11658_6#53,2012.0,S,S,R,,S,S,S,S,R,R,S,S,131
11658_5#56,2011.0,S,S,S,,S,S,S,S,S,S,S,S,69
11679_8#8,2012.0,S,S,S,,S,S,S,S,S,S,S,S,127
11658_7#32,2012.0,S,S,R,,S,S,S,S,S,S,S,S,155
11658_6#54,2012.0,S,S,R,,R,S,S,S,S,S,S,S,73
11658_7#33,2012.0,S,R,R,,R,S,R,R,S,R,R,R,131
11658_5#57,2012.0,S,S,R,,R,S,S,S,S,S,S,S,131
11791_7#36,2012.0,S,S,R,,S,S,S,S,S,S,S,S,69
11658_7#34,2012.0,S,S,R,,S,S,S,S,S,S,R,S,69
11658_7#35,2012.0,S,R,R,,S,S,R,R,S,S,R,R,73
11658_6#55,2012.0,S,S,R,,R,S,S,S,S,S,S,S,12
11658_6#56,2012.0,S,S,R,,S,S,S,S,S,S,S,S,95
11658_7#36,2012.0,S,S,S,,S,S,S,S,S,S,S,S,73
11679_5#7,2012.0,S,S,S,,S,S,S,S,S,S,S,S,1170
11679_4#13,2012.0,S,S,R,,S,S,S,S,S,S,R,S,38
11679_8#9,2012.0,S,S,R,,R,S,R,R,S,S,S,S,95
11679_6#14,2012.0,S,S,R,,S,S,S,S,R,R,R,R,1193
11679_7#10,2012.0,S,S,S,,S,S,S,S,S,S,S,S,357
11679_5#8,2012.0,S,S,S,,S,S,S,S,S,S,S,S,2802
11657_5#22,2012.0,S,S,S,,S,S,R,S,S,S,S,R,131
11657_5#23,2012.0,S,S,S,,S,S,S,S,S,S,S,S,550
11679_4#14,2012.0,S,S,S,,S,S,S,S,S,S,S,S,550
11657_7#20,2012.0,S,S,R,,S,S,R,S,S,S,S,S,73
11679_4#15,2012.0,S,S,S,,S,S,S,S,S,S,S,S,95
11679_6#15,2012.0,S,S,R,,R,S,S,R,S,S,R,S,23
11658_4#24,2012.0,S,S,S,,S,S,S,S,S,S,S,S,95
11679_5#9,2012.0,S,S,S,,S,S,S,S,S,S,S,S,95
11658_4#25,2012.0,S,S,R,,R,S,S,S,S,S,S,S,95
11657_7#21,2012.0,S,S,R,,R,R,S,S,S,R,R,R,131
11791_3#3,2012.0,S,S,R,,S,S,S,S,S,S,S,S,457
11657_6#22,2012.0,S,S,S,,S,S,S,S,S,S,S,S,95
11657_7#22,2012.0,S,R,R,,S,S,R,R,S,S,R,R,131
11658_3#14,2012.0,S,S,S,,S,S,S,S,S,S,S,S,10
11679_7#11,2012.0,S,S,R,,R,S,S,S,S,S,S,S,73
11679_5#10,2012.0,S,S,S,,S,S,S,S,S,S,S,S,129
11657_7#23,2012.0,S,R,R,,R,S,R,R,S,R,R,R,131
11679_7#12,2012.0,S,S,S,,S,S,S,S,S,S,R,S,131
11657_6#23,2012.0,S,S,R,,S,S,S,S,S,S,R,S,131
11657_6#24,2012.0,S,S,R,,R,S,S,S,S,S,S,S,73
11679_8#10,2012.0,S,S,S,,S,S,S,S,S,S,S,S,73
11679_4#16,2012.0,S,S,R,,S,S,S,S,S,S,S,S,73
11679_5#11,2012.0,S,S,R,,S,S,S,S,S,S,S,S,73
11679_5#12,2012.0,S,S,R,,R,R,S,S,S,S,R,S,131
11657_5#24,2012.0,R,R,R,,R,S,R,R,R,R,R,R,131
11679_8#11,2012.0,R,R,R,,S,S,R,R,S,S,R,R,131
11791_3#4,2012.0,S,S,S,,S,S,S,S,S,S,S,S,5364
11657_7#24,2012.0,S,S,S,,S,S,S,S,S,S,S,S,357
11679_7#13,2012.0,S,S,R,,S,S,S,S,S,S,S,S,144
11679_5#13,2012.0,S,S,R,,S,S,S,S,S,S,S,S,12
11791_3#5,2012.0,S,S,S,,S,S,S,S,S,S,S,S,12
11658_7#39,2001.0,S,,,S,S,S,S,,S,,,S,421
11679_6#18,2001.0,S,,,S,S,S,S,,S,,,S,73
11679_5#14,2001.0,S,,,R,R,S,S,,S,,,S,127
11658_3#19,2001.0,S,,,R,S,S,S,,S,,,S,5346
11657_7#25,2001.0,S,,,R,R,S,S,,S,,,S,73
11657_7#26,2001.0,S,,,S,S,S,S,,S,,,S,73
11679_6#19,2001.0,S,,,S,S,S,S,,S,,,S,967
11679_7#14,2001.0,S,,,R,S,S,S,,S,,,S,405
11657_6#26,2001.0,S,,,R,S,S,S,,S,,,S,73
11658_3#20,2001.0,S,,,S,S,S,S,,S,,,S,95
11658_3#21,2001.0,S,,,S,S,S,S,,S,,,S,14
11679_8#12,2001.0,S,,,S,S,S,S,,S,,,S,12
11657_6#27,2001.0,S,,,R,R,S,S,,S,,,S,14
11679_7#15,2001.0,S,,,R,S,S,S,,S,,,S,14
11679_8#13,2001.0,S,,,S,S,S,S,,S,,,S,681
11658_4#26,2001.0,S,,,R,S,S,S,,S,,,R,155
11679_7#16,2001.0,S,,,S,S,S,S,,S,,,S,95
11679_8#14,2001.0,S,,,S,S,S,S,,S,,,S,95
11657_6#28,2001.0,S,,,S,S,S,S,,S,,,S,73
11657_7#27,2001.0,S,,,R,R,S,R,,S,,,R,405
11657_6#29,2001.0,S,,,S,S,S,S,,S,,,S,144
11679_6#20,2001.0,S,,,S,S,S,S,,S,,,S,12
11679_4#17,2001.0,S,,,S,S,S,S,,S,,,S,126
11679_7#17,2001.0,S,,,S,S,S,S,,S,,,S,144
11679_4#18,2001.0,S,,,S,S,S,S,,S,,,S,550
11679_4#19,2001.0,S,,,R,S,S,S,,S,,,S,372
11679_6#21,2001.0,S,,,S,S,S,R,,R,,,R,68
11657_5#25,2001.0,S,,,R,S,S,S,,S,,,S,80
11657_6#30,2001.0,S,,,R,S,S,S,,S,,,S,73
11658_3#22,2001.0,S,,,R,S,S,S,,S,,,S,10
11657_5#26,2001.0,S,,,S,S,S,R,,S,,,S,73
11657_7#28,2001.0,S,,,S,S,S,S,,S,,,S,95
11679_4#20,2001.0,S,,,R,R,S,R,,S,,,R,405
11679_7#18,2001.0,S,,,R,S,S,S,,S,,,S,1257
11658_4#27,2001.0,S,,,R,S,S,S,,S,,,S,10
11658_3#23,2001.0,S,,,S,S,S,S,,S,,,S,91
11679_4#21,2001.0,S,,,R,R,S,S,,S,,,S,79
11658_3#24,2001.0,S,,,R,R,S,S,,R,,,R,410
11791_3#6,2001.0,S,,,R,R,S,S,,R,,,R,410
11679_7#19,2001.0,S,,,R,S,S,S,,S,,,S,127
11679_5#15,2001.0,S,,,S,S,S,S,,R,,,R,73
11679_5#16,2001.0,S,,,R,S,S,R,,S,,,S,10
11657_7#29,2001.0,S,,,R,R,S,R,,S,,,S,372
11657_5#27,2001.0,S,,,R,S,S,S,,S,,,S,73
11657_7#30,2010.0,S,S,R,,S,S,S,S,S,S,S,S,144
11658_8#56,2011.0,S,S,R,,S,S,S,S,S,S,R,S,12
11658_7#40,2011.0,S,S,S,,S,S,S,S,S,S,S,S,1494
11658_4#28,2012.0,S,S,R,,R,S,S,S,S,S,R,S,10
11657_5#28,2012.0,S,S,R,,S,S,S,S,S,S,S,S,5432
11658_6#57,2012.0,S,S,S,,S,S,S,S,S,S,S,S,73
11791_6#11,2012.0,S,S,S,,S,S,S,S,S,S,S,S,131
11679_7#20,2012.0,S,S,S,,S,S,S,S,S,S,R,R,624
11658_8#57,2012.0,S,S,R,,S,S,S,S,S,S,R,S,69
11658_7#41,2001.0,S,,,R,S,S,S,,S,,,S,10
11658_7#42,2001.0,S,,,R,S,S,R,,S,,,S,95
11658_5#58,2001.0,S,,,S,S,S,S,,S,,,S,357
11658_4#29,2001.0,S,,,R,S,S,S,,S,,,S,73
11658_7#43,2001.0,S,,,R,S,S,R,,S,,,S,1288
11657_7#31,2001.0,S,,,S,S,S,S,,S,,,S,1670
11791_7#37,2001.0,S,,,S,S,S,S,,R,,,S,297
11658_5#59,2001.0,S,,,R,S,S,S,,S,,,S,144
11791_7#38,2001.0,S,,,S,S,S,S,,S,,,S,95
11658_6#58,2001.0,S,,,S,S,S,S,,S,,,S,345
11658_5#60,2001.0,S,,,S,S,S,R,,S,,,S,5417
11657_5#29,2001.0,S,,,R,S,S,S,,R,,,S,404
11657_5#30,2001.0,S,,,R,R,S,S,,S,,,S,12
11657_7#32,2001.0,S,,,R,S,S,S,,S,,,S,80
11791_7#39,2001.0,S,,,R,S,S,S,,S,,,S,10
11658_5#61,2001.0,S,,,R,S,S,S,,S,,,S,1531
11658_4#30,2001.0,S,,,R,R,S,S,,S,,,S,393
11658_6#59,2001.0,S,,,R,S,S,S,,S,,,S,12
11658_4#31,2001.0,S,,,S,S,S,S,,S,,,S,73
11658_7#44,2001.0,S,,,R,R,S,S,,S,,,S,636
11658_4#32,2001.0,S,,,R,S,S,S,,S,,,S,404
11679_8#15,2001.0,S,,,R,S,S,S,,S,,,S,641
11658_7#45,2001.0,S,,,R,R,S,S,,S,,,S,117
11791_7#40,2001.0,S,,,S,S,S,S,,S,,,S,73
11791_7#41,2001.0,S,,,S,S,S,S,,S,,,S,73
11658_8#58,2001.0,S,,,S,S,S,S,,S,,,S,91
11658_6#60,2001.0,S,,,S,S,S,S,,S,,,S,12
11658_4#33,2001.0,S,,,R,S,S,S,,S,,,S,767
11791_7#42,2002.0,S,S,,R,R,S,R,,S,,,S,5082
11658_4#34,2002.0,S,S,,S,S,S,S,,S,,,S,95
11791_3#7,2002.0,S,S,,S,S,S,S,,S,,,S,73
11658_7#46,2002.0,S,S,,S,S,S,S,,S,,,S,12
11658_6#61,2002.0,S,S,,S,S,S,S,,S,,,S,393
11658_7#47,2002.0,S,S,,R,R,R,S,,S,,,S,73
11657_5#31,2002.0,S,S,,R,S,S,R,,S,,,S,12
11658_6#62,2002.0,S,S,,S,S,S,S,,S,,,S,73
11658_7#48,2002.0,S,S,,S,S,S,S,,S,,,S,95
11657_5#32,2002.0,S,S,,R,S,S,S,,R,,,R,5476
11679_8#16,2002.0,S,S,,R,S,S,S,,S,,,S,95
11658_4#35,2002.0,S,S,,R,R,S,S,,S,,,R,393
11657_5#33,2002.0,S,S,,S,S,S,S,,S,,,S,10
11658_8#59,2002.0,S,S,,S,S,S,S,,S,,,S,73
11657_6#31,2002.0,S,S,,S,S,S,S,,R,,,R,354
11658_4#36,2002.0,S,S,,S,S,S,S,,S,,,S,73
11791_6#12,2002.0,S,S,,R,R,S,S,,S,,,S,363
11791_3#8,2002.0,S,S,,S,S,S,S,,S,,,S,95
11657_5#34,2002.0,S,S,,R,R,S,S,,S,,,R,641
11658_5#62,2002.0,S,S,,S,S,S,S,,S,,,S,12
11657_5#35,2002.0,S,S,,R,S,S,S,,S,,,S,106
11658_5#63,2002.0,S,S,,R,R,S,S,,S,,,S,711
11658_4#37,2002.0,S,S,,R,S,S,S,,S,,,S,95
11791_6#13,2002.0,S,S,,R,S,S,S,,S,,,S,12
11791_6#14,2002.0,S,S,,R,R,S,R,,S,,,R,405
11679_4#22,2002.0,S,S,,R,R,S,S,,S,,,S,88
11679_8#17,2002.0,S,S,,S,S,S,S,,S,,,S,12
11658_5#64,2002.0,S,S,,S,S,S,S,,S,,,S,399
11791_3#9,2002.0,S,S,,S,S,S,S,,S,,,S,5519
11658_7#49,2002.0,S,S,,S,S,S,S,,S,,,S,95
11657_6#32,2002.0,S,S,,S,R,R,S,,S,,,S,550
11679_8#18,2002.0,S,S,,S,S,S,S,,S,,,S,73
11679_5#17,2002.0,S,S,,R,R,R,R,,S,,,S,73
11679_4#23,2002.0,S,S,,R,R,R,S,,S,,,R,393
11791_6#15,2002.0,S,S,,S,S,S,S,,S,,,S,73
11657_7#33,2002.0,S,S,,R,S,S,S,,S,,,S,73
11791_3#10,2002.0,S,S,,S,S,S,S,,S,,,S,357
11658_4#38,2002.0,S,S,,R,R,S,S,,S,,,S,127
11657_5#36,2002.0,S,S,,S,S,S,S,,S,,,S,452
11657_5#37,2002.0,S,S,,S,S,S,S,,S,,,S,5461
11679_6#22,2002.0,S,S,,R,S,S,S,,S,,,S,73
11657_7#34,2002.0,S,S,,S,S,S,S,,S,,,S,5363
11791_6#16,2002.0,S,S,,S,S,S,S,,S,,,S,59
11791_3#11,2002.0,S,S,,S,S,S,S,,S,,,S,91
11658_5#65,2002.0,S,S,,S,S,S,S,,S,,,S,372
11679_8#19,2002.0,S,S,,S,S,S,S,,S,,,S,963
11657_5#38,2002.0,S,S,,R,S,S,S,,S,,,S,59
11679_4#24,2002.0,S,S,,S,S,S,S,,S,,,S,59
11679_6#23,2002.0,S,S,,R,S,S,S,,S,,,S,73
11658_4#39,2002.0,S,S,,R,S,S,S,,S,,,S,14
11658_7#50,2002.0,S,S,,R,R,S,S,,S,,,S,73
11658_6#63,2002.0,S,S,,R,R,S,S,,S,,,S,5630
11658_7#51,2002.0,S,S,,R,S,S,S,,S,,,S,366
11791_7#44,2002.0,S,S,,R,S,S,S,,S,,,S,73
11657_6#33,2002.0,S,S,,R,S,S,S,,S,,,S,59
11679_8#20,2002.0,S,S,,R,S,S,S,,S,,,S,83
11679_5#18,2002.0,S,S,,R,R,S,S,,S,,,S,73
11657_6#34,2002.0,S,S,,R,R,S,S,,S,,,S,38
11679_4#25,2002.0,S,S,,R,R,S,S,,S,,,S,73
11679_8#21,2002.0,S,S,,R,S,S,S,,S,,,S,73
11657_6#35,2002.0,S,S,,R,S,S,S,,S,,,S,79
11679_6#24,2002.0,S,S,,R,S,S,S,,S,,,S,618
11679_6#25,2002.0,S,S,,R,S,S,S,,S,,,S,88
11658_3#25,2002.0,S,S,,R,R,S,S,,S,,,S,117
11679_7#21,2002.0,S,S,,R,R,S,S,,S,,,S,73
11791_3#12,2002.0,S,S,,S,S,S,S,,S,,,S,73
11658_3#26,2002.0,S,S,,R,S,S,S,,S,,,S,73
11791_3#13,2002.0,S,S,,R,S,S,S,,S,,,S,58
11679_6#26,2002.0,S,S,,S,S,S,S,,S,,,S,95
11679_5#19,2002.0,S,S,,R,S,S,S,,S,,,S,73
11658_3#27,2002.0,S,S,,R,R,S,S,,R,,,S,73
11679_8#22,2002.0,S,S,,R,S,S,S,,S,,,S,420
11679_5#20,2002.0,S,S,,S,S,S,S,,S,,,S,141
11791_3#14,2002.0,S,S,,R,S,S,S,,S,,,S,88
11679_7#22,2002.0,S,S,,R,R,S,S,,S,,,S,73
11679_5#21,2002.0,R,R,,R,R,S,R,,S,,,S,12
11658_3#28,2002.0,S,S,,R,S,S,S,,S,,,S,38
11658_4#40,2002.0,S,S,,S,S,S,S,,S,,,S,73
11791_6#17,2002.0,S,S,,S,S,S,S,,S,,,S,141
11791_3#15,2002.0,S,S,,S,S,S,S,,S,,,S,1001
11791_3#16,2002.0,S,S,,S,S,S,R,,S,,,S,106
11679_8#23,2002.0,S,S,,S,S,S,S,,S,,,S,1155
11679_5#22,2002.0,S,S,,R,S,S,S,,S,,,S,59
11679_5#23,2002.0,S,S,,R,S,S,S,,S,,,S,59
11791_3#17,2002.0,S,S,,R,S,S,S,,S,,,S,420
11679_8#24,2002.0,S,S,,S,S,S,S,,S,,,S,127
11679_8#25,2002.0,S,S,,S,S,S,S,,S,,,S,141
11679_7#23,2002.0,S,S,,S,S,S,S,,S,,,S,691
11679_7#24,2002.0,S,S,,R,S,S,S,,R,,,R,405
11657_6#36,2003.0,S,S,,S,S,S,S,,S,,,S,95
11679_8#26,2003.0,S,S,,R,S,S,S,,S,,,S,369
11658_3#29,2003.0,S,S,,R,R,S,S,,S,,,S,73
11679_8#27,2003.0,S,S,,R,S,S,S,,S,,,S,12
11679_6#27,2003.0,S,S,,R,S,S,S,,S,,,S,95
11791_3#18,2003.0,S,S,,R,S,S,S,,S,,,S,141
11679_8#28,2003.0,S,S,,R,S,S,S,,S,,,S,10
11791_3#19,2003.0,S,S,,R,S,S,S,,S,,,S,69
11679_8#29,2003.0,S,S,,S,S,S,S,,S,,,S,48
11658_3#30,2003.0,S,S,,S,S,S,S,,S,,,S,95
11791_3#20,2003.0,S,S,,R,R,S,S,,S,,,S,12
11679_4#26,2003.0,S,S,,S,S,S,S,,S,,,S,73
11679_6#28,2003.0,S,S,,R,R,S,S,,S,,,S,73
11791_3#21,2003.0,S,S,,R,R,R,R,,S,,,S,73
11791_3#22,2003.0,S,S,,R,R,S,S,,S,,,S,62
11791_3#23,2003.0,S,S,,R,S,S,S,,S,,,S,62
11657_7#35,2003.0,S,S,,S,S,S,S,,S,,,S,10
11679_6#29,2003.0,S,S,,S,S,S,S,,S,,,S,95
11679_8#30,2003.0,S,S,,S,S,S,S,,S,,,S,537
11679_5#24,2003.0,S,S,,S,S,S,S,,S,,,S,62
11679_7#26,2003.0,S,S,,R,R,S,S,,S,,,S,131
11679_8#31,2003.0,S,S,,R,S,S,S,,S,,,S,363
11791_3#24,2003.0,S,S,,R,R,R,S,,S,,,S,73
11791_3#25,2003.0,S,S,,R,S,S,S,,S,,,S,4260
11657_7#36,2003.0,S,S,,S,S,S,S,,S,,,S,62
11791_3#26,2003.0,S,S,,R,R,R,R,,S,,,S,131
11791_6#18,2003.0,S,S,,R,S,S,S,,R,,,S,2253
11679_6#30,2003.0,S,S,,R,S,S,S,,S,,,S,131
11679_6#31,2003.0,S,S,,R,S,S,S,,S,,,S,2494
11791_3#27,2003.0,S,S,,S,S,S,S,,S,,,S,80
11657_6#37,2003.0,S,S,,R,S,S,R,,S,,,R,131
11679_4#27,2003.0,S,S,,R,R,S,S,,S,,,R,1394
11679_8#32,2003.0,S,S,,R,S,S,S,,S,,,S,144
11791_3#28,2003.0,S,S,,R,R,R,S,,S,,,S,369
11658_3#31,2003.0,S,S,,R,R,R,S,,S,,,S,131
11679_6#32,2003.0,S,S,,S,S,S,S,,S,,,S,73
11679_5#25,2003.0,S,S,,S,S,S,S,,S,,,S,80
11679_6#33,2003.0,S,S,,R,R,S,S,,S,,,S,491
11791_3#29,2003.0,S,S,,R,R,S,S,,S,,,S,491
11657_6#38,2003.0,S,S,,S,S,S,S,,S,,,S,73
11679_5#26,2003.0,S,S,,S,S,S,S,,S,,,S,73
11791_3#30,2003.0,S,S,,R,S,S,S,,S,,,S,12
11679_5#27,2003.0,S,S,,R,S,S,S,,S,,,S,12
11679_6#34,2003.0,S,S,,R,S,S,S,,S,,,S,73
11657_6#39,2003.0,S,S,,S,S,S,S,,S,,,S,5552
11791_3#31,2003.0,S,S,,S,S,S,S,,S,,,S,127
11657_5#39,2003.0,S,S,,S,S,S,S,,S,,,S,685
11679_7#27,2002.0,S,S,,S,S,S,R,,S,,,S,141
11679_8#33,2002.0,R,R,,R,R,S,R,,S,,,S,2230
11657_5#40,2003.0,R,R,,R,R,R,R,,R,,,R,167
11657_5#41,2003.0,S,S,,S,S,S,R,,S,,,S,95
11679_6#35,2003.0,S,S,,S,S,S,S,,S,,,S,405
11658_4#41,2003.0,S,S,,S,S,S,S,,S,,,S,73
11657_7#37,2003.0,S,S,,R,S,S,S,,S,,,S,12
11657_6#40,2003.0,S,S,,R,S,S,S,,S,,,S,405
11791_3#32,2003.0,S,S,,R,S,S,S,,S,,,R,131
11657_5#42,2003.0,S,S,,R,R,R,S,,S,,,S,58
11679_8#34,2003.0,S,S,,S,S,S,S,,S,,,S,1810
11657_7#38,2003.0,S,S,,S,S,S,S,,S,,,S,2567
11679_8#35,2003.0,S,S,,R,S,S,S,,S,,,S,69
11679_4#28,2003.0,S,S,,R,S,S,S,,S,,,S,127
11679_8#36,2003.0,S,S,,R,S,S,S,,S,,,S,69
11658_5#66,2003.0,S,S,,R,R,S,S,,S,,,S,131
11679_8#37,2003.0,S,S,,S,S,S,S,,S,,,S,95
11658_8#60,2003.0,S,S,,R,S,S,S,,S,,,S,117
11658_4#42,2003.0,S,S,,R,R,S,S,,S,,,S,5440
11658_7#52,2003.0,S,S,,R,R,S,S,,S,,,S,131
11658_6#64,2003.0,S,S,,R,S,S,S,,S,,,R,131
11657_5#43,2003.0,S,S,,R,S,S,S,,S,,,S,405
11791_7#45,2003.0,S,S,,S,S,S,S,,S,,,S,131
11679_8#38,2003.0,S,S,,S,S,S,S,,S,,,S,73
11658_5#67,2003.0,S,S,,R,S,S,S,,S,,,S,12
11679_8#39,2003.0,S,S,,S,S,S,S,,S,,,S,73
11658_8#61,2003.0,S,S,,S,S,S,S,,S,,,S,73
11679_5#28,2003.0,S,S,,R,S,S,S,,S,,,S,12
11658_4#43,2003.0,S,S,,S,S,S,S,,S,,,S,131
11658_4#44,2003.0,S,S,,S,S,S,S,,S,,,S,95
11658_7#53,2003.0,R,R,,R,S,S,R,,S,,,R,648
11791_7#46,2003.0,S,S,,S,S,S,S,,S,,,S,14
11679_8#40,2003.0,S,S,,R,S,S,S,,S,,,R,393
